time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.0011959075927734375,5351,0,0.4785181,0,0.4785180985927582
0.0008919239044189453,414,8,0.75353885,8,0.7535388469696045
0.0009367465972900391,2912,8,0.78881663,8,0.7888166308403015
0.0008876323699951172,7581,8,0.85596466,8,0.8559646606445312
0.0009541511535644531,1935,0,0.7272309,0,0.7272309064865112
0.0008950233459472656,7856,8,0.6850179,8,0.6850178837776184
0.0008780956268310547,1292,8,0.8746029,8,0.8746029138565063
0.0009083747863769531,6796,1,0.37211826,1,0.3721182644367218
0.0009665489196777344,1804,8,0.86799127,8,0.8679912686347961
0.0009567737579345703,5291,8,0.569196,8,0.5691959857940674
0.0008797645568847656,6479,8,0.53670865,8,0.536708652973175
0.0009398460388183594,3340,8,0.8291377,8,0.8291376829147339
0.0008914470672607422,616,8,0.42222846,8,0.42222845554351807
0.0008699893951416016,194,8,0.43565145,8,0.4356514513492584
0.0009160041809082031,4367,8,0.6960214,8,0.6960213780403137
0.0008957386016845703,2918,8,0.3780709,8,0.3780708909034729
0.0010237693786621094,6961,1,0.58402973,1,0.5840297341346741
0.000850677490234375,6963,8,0.48655283,8,0.4865528345108032
0.0009276866912841797,3079,8,0.6109775,8,0.6109774708747864
0.0008797645568847656,8804,8,0.54051447,8,0.5405144691467285
0.0008785724639892578,5425,1,0.4761066,1,0.4761066138744354
0.0008757114410400391,2333,0,0.5519698,0,0.5519698262214661
0.0008535385131835938,7118,8,0.44109383,8,0.4410938322544098
0.0008630752563476562,8924,8,0.5355077,8,0.5355076789855957
0.0009262561798095703,88,8,0.6567698,8,0.6567698121070862
0.00106048583984375,1588,8,0.9085066,8,0.9085065722465515
0.0009119510650634766,8367,8,0.47290686,8,0.47290685772895813
0.0009133815765380859,5148,8,0.5177793,8,0.5177792906761169
0.0008745193481445312,7515,8,0.41507635,8,0.415076345205307
0.0008573532104492188,6013,8,0.7489985,8,0.7489985227584839
0.0008475780487060547,3519,0,0.48339295,0,0.48339295387268066
0.0008547306060791016,7884,8,0.46047235,8,0.46047234535217285
0.0008947849273681641,6447,3,0.47356954,3,0.4735695421695709
0.0009906291961669922,6715,8,0.5696835,8,0.5696834921836853
0.0008690357208251953,4283,8,0.3413632,8,0.34136319160461426
0.0008661746978759766,4673,8,0.5162989,8,0.5162988901138306
0.0009157657623291016,732,8,0.87582237,8,0.8758223652839661
0.0008795261383056641,5957,0,0.55192983,0,0.5519298315048218
0.0012295246124267578,6785,8,0.608351,8,0.6083509922027588
0.0008847713470458984,593,1,0.3475515,1,0.34755149483680725
0.0008847713470458984,5550,1,0.5300411,1,0.5300410985946655
0.0008747577667236328,1471,0,0.71152955,0,0.711529552936554
0.0009248256683349609,8955,8,0.45232746,8,0.4523274600505829
0.0008549690246582031,6952,8,0.6311,8,0.6310999989509583
0.0008268356323242188,6200,8,0.4965777,8,0.4965777099132538
0.0008645057678222656,8062,8,0.66485536,8,0.6648553609848022
0.0009105205535888672,4618,8,0.6097788,8,0.6097788214683533
0.0008165836334228516,273,0,0.4576801,0,0.4576801061630249
0.0008058547973632812,492,8,0.86691487,8,0.8669148683547974
0.0008924007415771484,957,8,0.8300835,8,0.8300834894180298
0.0009546279907226562,1909,0,0.631632,0,0.6316319704055786
0.001033782958984375,8705,4,0.2938095,4,0.2938095033168793
0.0009605884552001953,2440,1,0.46556196,1,0.46556195616722107
0.0009169578552246094,516,8,0.94939506,8,0.9493950605392456
0.0008907318115234375,8691,1,0.3151817,1,0.315181702375412
0.0008759498596191406,8318,8,0.3833977,8,0.3833976984024048
0.0008690357208251953,1068,8,0.71610934,8,0.7161093354225159
0.0008809566497802734,8566,1,0.40063107,1,0.4006310701370239
0.0008406639099121094,7597,8,0.5387415,8,0.5387415289878845
0.0008687973022460938,5516,0,0.46205202,0,0.46205201745033264
0.002290487289428711,3237,8,0.9142344,8,0.9142343997955322
0.0009260177612304688,4098,8,0.6147537,8,0.6147537231445312
0.0008721351623535156,6855,0,0.452166,0,0.45216599106788635
0.0008859634399414062,970,8,0.686432,8,0.6864320039749146
0.0009183883666992188,812,8,0.91298544,8,0.9129854440689087
0.0008697509765625,3367,8,0.52364904,8,0.5236490368843079
0.0008814334869384766,1507,8,0.452238,8,0.452237993478775
0.0008478164672851562,7881,8,0.7881688,8,0.7881687879562378
0.0008966922760009766,1328,8,0.49296245,8,0.49296244978904724
0.0008890628814697266,5341,8,0.4629124,8,0.4629124104976654
0.0008606910705566406,3610,8,0.8580244,8,0.8580244183540344
0.0008606910705566406,3983,8,0.52903116,8,0.5290311574935913
0.0008656978607177734,748,8,0.8243258,8,0.8243257999420166
0.0008428096771240234,2152,0,0.7510269,0,0.7510269284248352
0.0008573532104492188,266,8,0.6856835,8,0.6856834888458252
0.0008628368377685547,7088,8,0.8458637,8,0.8458636999130249
0.0008847713470458984,3166,8,0.5275406,8,0.5275406241416931
0.0008642673492431641,3175,8,0.38808802,8,0.38808801770210266
0.0008628368377685547,3251,0,0.5956407,0,0.5956407189369202
0.0008492469787597656,1304,8,0.7691856,8,0.7691856026649475
0.0008704662322998047,8296,8,0.66465455,8,0.664654552936554
0.0008306503295898438,8358,8,0.794604,8,0.7946040034294128
0.0009946823120117188,5814,8,0.5906257,8,0.5906257033348083
0.0008907318115234375,4742,8,0.52768105,8,0.5276810526847839
0.0008740425109863281,1832,0,0.44810754,0,0.4481075406074524
0.0008766651153564453,8370,0,0.46808,0,0.4680800139904022
0.0009322166442871094,6034,0,0.60090005,0,0.6009000539779663
0.000911712646484375,1283,0,0.6322687,0,0.6322687268257141
0.0009067058563232422,260,0,0.79140186,0,0.7914018630981445
0.0008654594421386719,1687,0,0.6424617,0,0.6424617171287537
0.0009124279022216797,2595,8,0.58695006,8,0.5869500637054443
0.0008077621459960938,8790,0,0.5829655,0,0.5829654932022095
0.0008480548858642578,849,3,0.29545012,3,0.2954501211643219
0.0008921623229980469,5531,0,0.3951077,0,0.3951076865196228
0.0008685588836669922,6541,0,0.43407226,0,0.43407225608825684
0.0008549690246582031,2970,8,0.6686372,8,0.668637216091156
0.000896453857421875,7520,8,0.9196227,8,0.9196227192878723
0.0008478164672851562,1158,8,0.4506019,8,0.4506019055843353
0.0008661746978759766,612,8,0.5396466,8,0.5396466255187988
0.0008800029754638672,2914,8,0.66750747,8,0.6675074696540833
