time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.014620542526245117,2173,6,6,1.0,6,1.0
0.001093149185180664,7510,7,7,1.0,7,1.0
0.0006518363952636719,1378,0,0,1.0,0,1.0
0.0007390975952148438,8132,5,5,1.0,5,1.0
0.0005838871002197266,7184,9,9,1.0,9,1.0
0.0006334781646728516,7263,3,3,1.0,3,1.0
0.0007538795471191406,3439,6,6,1.0,6,1.0
0.0006074905395507812,8186,7,7,1.0,7,1.0
0.0005412101745605469,805,7,7,1.0,7,1.0
0.0005939006805419922,5129,0,0,1.0,0,1.0
0.00045990943908691406,4755,6,6,1.0,6,1.0
0.000713348388671875,3045,6,6,1.0,6,1.0
0.0006430149078369141,1775,5,5,1.0,5,1.0
0.0004684925079345703,6764,4,4,1.0,4,1.0
0.00038743019104003906,5794,3,3,1.0,3,1.0
0.00037479400634765625,2280,2,2,1.0,2,1.0
0.000415802001953125,2801,6,6,1.0,6,1.0
0.0006082057952880859,8205,8,8,1.0,8,1.0
0.00045943260192871094,1099,8,8,1.0,8,1.0
0.0005102157592773438,8400,5,5,1.0,5,1.0
0.0006115436553955078,5904,8,8,1.0,8,1.0
0.000377655029296875,7793,2,2,1.0,2,1.0
0.0005548000335693359,4166,1,1,1.0,1,1.0
0.0005240440368652344,6332,4,4,1.0,4,1.0
0.0005447864532470703,2534,4,4,1.0,4,1.0
0.0005028247833251953,6925,6,6,1.0,6,1.0
0.00042700767517089844,3714,3,3,1.0,3,1.0
0.0004177093505859375,1040,5,5,1.0,5,1.0
0.0004467964172363281,576,7,7,1.0,7,1.0
0.00047659873962402344,8142,9,9,1.0,9,1.0
0.0004830360412597656,1939,9,5,1.0,5,1.0
0.0005085468292236328,6280,1,1,1.0,1,1.0
0.0008904933929443359,4982,5,3,1.0,3,1.0
0.0009262561798095703,5531,6,6,1.0,6,1.0
0.0006356239318847656,6395,1,1,1.0,1,1.0
0.0006799697875976562,2492,8,8,1.0,8,1.0
0.0005748271942138672,2677,0,0,1.0,0,1.0
0.0005843639373779297,7236,8,8,1.0,8,1.0
0.0005042552947998047,738,3,3,1.0,3,1.0
0.0005207061767578125,3669,7,7,1.0,7,1.0
0.0005207061767578125,4409,4,4,1.0,4,1.0
0.0006165504455566406,4533,7,7,1.0,7,1.0
0.0006213188171386719,2000,6,6,1.0,6,1.0
0.0008857250213623047,5896,6,6,1.0,6,1.0
0.0008845329284667969,8596,8,8,1.0,8,1.0
0.0007679462432861328,5462,2,2,1.0,2,1.0
0.0007224082946777344,183,9,9,1.0,9,1.0
0.0008976459503173828,2713,7,7,1.0,7,1.0
0.0006906986236572266,7644,6,6,1.0,6,1.0
0.0006275177001953125,8632,6,6,1.0,6,1.0
0.0006937980651855469,5440,3,3,1.0,3,1.0
0.0005927085876464844,8158,0,0,1.0,0,1.0
0.0007321834564208984,2846,6,6,1.0,6,1.0
0.0007083415985107422,1107,8,8,1.0,8,1.0
0.0008270740509033203,4450,0,0,1.0,0,1.0
0.0009400844573974609,61,0,0,1.0,0,1.0
0.0008409023284912109,2528,3,3,1.0,3,1.0
0.0006632804870605469,6599,0,0,1.0,0,1.0
0.0007228851318359375,8464,1,1,1.0,1,1.0
0.0006470680236816406,2448,3,3,1.0,3,1.0
0.0007677078247070312,3148,7,7,1.0,7,1.0
0.0009031295776367188,2325,0,0,1.0,0,1.0
0.000881195068359375,2297,0,0,1.0,0,1.0
0.0008249282836914062,5847,6,6,1.0,6,1.0
0.0006222724914550781,6263,0,0,1.0,0,1.0
0.0005533695220947266,3123,8,8,1.0,8,1.0
0.0004909038543701172,6387,6,6,1.0,6,1.0
0.0004942417144775391,4626,2,2,1.0,2,1.0
0.0007076263427734375,467,5,5,1.0,5,1.0
0.00047516822814941406,7966,2,2,1.0,2,1.0
0.0005905628204345703,5104,6,6,1.0,6,1.0
0.0005714893341064453,8536,3,3,1.0,3,1.0
0.0005238056182861328,5807,9,9,1.0,9,1.0
0.0005316734313964844,6931,9,9,1.0,9,1.0
0.0005838871002197266,7028,9,9,1.0,9,1.0
0.0006678104400634766,8186,7,7,1.0,7,1.0
0.0006444454193115234,5011,3,3,1.0,3,1.0
0.0007059574127197266,583,8,8,1.0,8,1.0
0.0007228851318359375,535,0,0,1.0,0,1.0
0.0006935596466064453,337,2,6,1.0,6,1.0
0.0006248950958251953,655,9,9,1.0,9,1.0
0.0006625652313232422,1341,9,9,1.0,9,1.0
0.0006182193756103516,7815,7,7,1.0,7,1.0
0.0007774829864501953,8517,9,9,1.0,9,1.0
0.0005974769592285156,7901,6,6,1.0,6,1.0
0.0005860328674316406,5183,2,2,1.0,2,1.0
0.00072479248046875,2849,0,0,1.0,0,1.0
0.0006823539733886719,4648,8,8,1.0,8,1.0
0.0008001327514648438,4381,2,2,1.0,2,1.0
0.0006566047668457031,326,7,7,1.0,7,1.0
0.0007326602935791016,3265,4,4,1.0,4,1.0
0.0006918907165527344,8559,3,3,1.0,3,1.0
0.0005171298980712891,5125,1,1,1.0,1,1.0
0.0004870891571044922,5264,0,0,1.0,0,1.0
0.0005285739898681641,4078,3,3,1.0,3,1.0
0.0005578994750976562,4266,2,2,1.0,2,1.0
0.0006594657897949219,7549,1,1,1.0,1,1.0
0.0008208751678466797,4492,3,3,1.0,3,1.0
0.0007297992706298828,8184,5,5,1.0,5,1.0
0.0010879039764404297,7330,8,8,1.0,8,1.0
