time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.0006067752838134766,6924,0,0.6588311,0,0.35617128387093544
0.0006048679351806641,5392,0,0.46447057,4,0.24671225622296333
0.0006968975067138672,8252,0,0.49584284,0,0.3117526784539223
0.0007021427154541016,8633,8,0.4249669,8,0.48629809021949766
0.0006556510925292969,483,0,0.90545636,0,0.6398943182080984
0.0007219314575195312,4135,0,0.4263648,0,0.2833058267831802
0.0006959438323974609,6521,0,0.5700426,0,0.3746342595666647
0.0006818771362304688,4627,8,0.5107298,0,0.7274939507246018
0.0007064342498779297,1283,0,0.9528743,0,0.6366314977407456
0.0008385181427001953,5322,0,0.50167537,0,0.5016390606760979
