time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.0007874965667724609,6613,8,0.9639857,8,0.9654025316238404
0.0007126331329345703,3545,7,0.4884766,7,0.5682366102933883
0.0006968975067138672,6166,8,0.96066594,8,0.958672946691513
0.0007672309875488281,6916,8,0.92139405,8,0.8909987390041352
0.0007548332214355469,1050,8,0.9406219,8,0.9088720560073853
0.0006682872772216797,7750,8,0.93744004,8,0.8983376026153564
0.0006539821624755859,204,8,0.9042312,8,0.8242566287517548
0.0006856918334960938,6803,8,0.98783106,8,0.985416728258133
0.0006420612335205078,7673,8,0.9561863,8,0.9430940270423889
0.0007538795471191406,3682,8,0.8434183,8,0.7749301940202713
