time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.05463767051696777,104,0,1.0,1,0.5
0.0029299259185791016,7191,5,1.0,5,1.0
0.0030095577239990234,4883,7,1.0,7,0.5
0.002438783645629883,8991,5,0.9999994,8,0.5000000580447079
0.003115415573120117,660,1,1.0,1,0.9
0.004455089569091797,6953,5,1.0,5,1.0
0.003721952438354492,5723,5,1.0,5,0.7
0.003192424774169922,6070,5,1.0,5,1.0
0.0028612613677978516,5825,1,1.0,1,1.0
0.0027022361755371094,830,5,1.0,1,0.3
0.0035142898559570312,6044,5,1.0,5,0.7998908400535584
0.0030765533447265625,8347,8,1.0,8,1.0
0.0025887489318847656,6764,5,1.0,8,0.8
0.0027730464935302734,919,1,1.0,1,1.0
0.002619028091430664,6221,5,1.0,5,1.0
0.0029222965240478516,4295,5,1.0,5,0.6013977939262987
0.002659320831298828,7112,3,1.0,3,0.5
0.0020766258239746094,7600,5,1.0,5,0.5589345813882458
0.002271890640258789,6565,5,1.0,5,1.0
0.002027750015258789,6528,8,1.0,8,0.9000140360672958
0.002577066421508789,6279,8,1.0,8,0.9
0.0025131702423095703,1164,1,1.0,1,1.0
0.002632617950439453,178,5,1.0,5,1.0
0.003438234329223633,4250,5,1.0,5,1.0
0.002285480499267578,7475,8,1.0,8,0.8
0.003195524215698242,6416,0,1.0,0,0.8
0.002039670944213867,2676,8,1.0,8,0.49768989682197573
0.002092123031616211,7321,8,1.0,8,0.9000000000000016
0.0024271011352539062,8365,2,1.0,2,0.4
0.0027284622192382812,4029,8,1.0,8,0.9000000031239399
0.0024590492248535156,4154,8,1.0,1,0.5
0.002635478973388672,2110,8,1.0,8,0.9
0.002789735794067383,2908,5,0.68785936,7,0.6312140643596649
0.002373218536376953,5623,5,1.0,5,0.9
0.002704143524169922,4933,1,1.0,1,0.9023048728704453
0.0037384033203125,722,8,1.0,8,1.0
0.0026350021362304688,4381,5,1.0,5,0.9
0.002090930938720703,4689,1,1.0,1,1.0
0.0033915042877197266,6100,8,1.0,8,0.9
0.004255533218383789,4123,5,1.0,5,0.5
0.002905607223510742,4242,8,1.0,8,0.9
0.0022056102752685547,2947,2,1.0,8,0.6
0.0022306442260742188,7847,5,1.0,5,1.0
0.0028047561645507812,5467,5,1.0,5,1.0
0.002821207046508789,5208,5,1.0,5,0.7000000000000208
0.002650022506713867,7664,8,1.0,8,1.0
0.0029251575469970703,7554,8,1.0,8,1.0
0.0024995803833007812,1321,8,1.0,8,1.0
0.0025522708892822266,8742,5,1.0,5,1.0
0.002117633819580078,5760,5,1.0,5,1.0
0.002508401870727539,8374,8,1.0,8,0.7000000103979594
0.0026009082794189453,3709,8,1.0,8,0.8
0.002399444580078125,3386,5,1.0,1,0.7074258632957935
0.0026159286499023438,8946,5,1.0,5,0.8
0.0021674633026123047,8325,5,1.0,5,1.0
0.004060029983520508,8509,7,1.0,7,0.9
0.002678394317626953,2543,5,1.0,5,0.9
0.002205371856689453,1272,8,1.0,8,1.0
0.0028133392333984375,8906,5,1.0,5,1.0
0.0035681724548339844,4865,8,1.0,8,0.8
0.0026810169219970703,7532,8,1.0,8,1.0
0.0028197765350341797,5395,8,1.0,8,0.9000009199294254
0.002473592758178711,151,5,1.0,5,0.6000000000000025
0.002322673797607422,4848,5,1.0,5,0.7000000000351585
0.0022504329681396484,5105,8,1.0,8,0.9
0.002454042434692383,5254,5,1.0,5,0.7
0.002688169479370117,6568,5,1.0,5,0.9
0.0036220550537109375,5758,7,0.9999919,7,0.6017842771485448
0.002099752426147461,5227,5,1.0,5,1.0
0.0028667449951171875,7781,8,1.0,8,1.0
0.004102945327758789,830,5,1.0,1,0.3
0.0030808448791503906,705,8,1.0,1,0.9
0.002755403518676758,3376,5,1.0,5,0.8
0.0020182132720947266,8648,5,1.0,5,1.0
0.0024542808532714844,3374,8,1.0,8,1.0
0.003695249557495117,6951,8,1.0,8,0.7
0.0025484561920166016,3235,8,1.0,5,0.4000000286116677
0.0031986236572265625,7237,5,1.0,5,1.0
0.004501819610595703,1329,5,1.0,5,1.0
0.0026874542236328125,904,1,1.0,1,0.7
0.0029287338256835938,601,8,1.0,8,1.0
0.0032715797424316406,1287,4,1.0,1,0.7
0.0025522708892822266,7558,4,1.0,4,0.5
0.0027196407318115234,5808,8,1.0,8,0.9
0.0020666122436523438,7468,4,1.0,5,0.4
0.0020294189453125,7576,8,1.0,8,1.0
0.003472566604614258,8493,5,1.0,8,0.5
0.002735137939453125,7915,5,1.0,5,1.0
0.002637147903442383,6395,7,1.0,7,0.8
0.003052234649658203,7088,5,1.0,1,0.6
0.003378629684448242,1119,5,1.0,5,0.9000000000261625
0.002792835235595703,1760,2,1.0,5,0.4
0.0020554065704345703,6645,8,1.0,8,1.0
0.003229379653930664,5811,8,1.0,8,0.8
0.0026237964630126953,3462,4,1.0,4,0.7
0.0036454200744628906,7441,8,1.0,8,0.9
0.002518892288208008,233,8,1.0,8,1.0
0.002185821533203125,7832,8,1.0,8,1.0
0.002206563949584961,416,8,1.0,8,1.0
0.0033223628997802734,4155,5,1.0,5,1.0
