time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.01992344856262207,7250,9,9,1.0,9,1.0
0.0008146762847900391,3841,3,3,1.0,3,1.0
0.0008878707885742188,876,1,1,1.0,1,1.0
0.0008170604705810547,8244,0,0,1.0,0,1.0
0.0008418560028076172,3609,4,4,1.0,4,1.0
0.0008764266967773438,4254,1,1,1.0,1,1.0
0.0009419918060302734,8579,3,3,1.0,3,1.0
0.0009326934814453125,1063,7,7,1.0,7,1.0
0.0008058547973632812,1296,2,2,1.0,2,1.0
0.0009329319000244141,2527,3,3,1.0,3,1.0
0.0008037090301513672,6890,1,1,1.0,1,1.0
0.0009102821350097656,2314,1,1,1.0,1,1.0
0.0007903575897216797,3389,8,8,1.0,8,1.0
0.0008759498596191406,2504,9,9,1.0,9,1.0
0.0007944107055664062,3461,5,5,1.0,5,1.0
0.0008530616760253906,3702,6,6,1.0,6,1.0
0.0007734298706054688,1436,4,4,1.0,4,1.0
0.0008709430694580078,3056,5,5,1.0,5,1.0
0.0008852481842041016,1706,1,1,1.0,1,1.0
0.0009756088256835938,1932,0,0,1.0,0,1.0
0.0009238719940185547,8423,9,9,1.0,9,1.0
0.0008864402770996094,6970,6,6,1.0,6,1.0
0.0008790493011474609,6837,9,9,1.0,9,1.0
0.0008099079132080078,1717,0,0,1.0,0,1.0
0.0007958412170410156,1834,8,8,1.0,8,1.0
0.0009262561798095703,8288,7,7,1.0,7,1.0
0.0008375644683837891,8420,8,8,1.0,8,1.0
0.0010616779327392578,7663,9,9,1.0,9,1.0
0.001001596450805664,2659,3,3,1.0,3,1.0
0.000990152359008789,3326,2,2,1.0,2,1.0
0.0009546279907226562,8176,5,5,1.0,5,1.0
0.00110626220703125,8705,1,1,1.0,1,1.0
0.001032114028930664,2673,1,1,1.0,1,1.0
0.001107931137084961,8479,3,3,1.0,3,1.0
0.0010137557983398438,4050,9,9,1.0,9,1.0
0.0010347366333007812,4550,1,1,1.0,1,1.0
0.0010504722595214844,1851,7,7,1.0,7,1.0
0.0010695457458496094,7519,7,7,1.0,7,1.0
0.0009949207305908203,3841,3,3,1.0,3,1.0
0.0010368824005126953,2264,1,1,1.0,1,1.0
0.0009970664978027344,8599,1,1,1.0,1,1.0
0.0010380744934082031,6948,5,5,1.0,5,1.0
0.0010914802551269531,5412,2,2,1.0,2,1.0
0.0010402202606201172,7958,8,8,1.0,8,1.0
0.0009655952453613281,7427,1,1,1.0,1,1.0
0.0010404586791992188,1748,0,0,1.0,0,1.0
0.0011749267578125,1097,6,6,1.0,6,1.0
0.001024484634399414,2110,3,3,1.0,3,1.0
0.0010371208190917969,5071,9,9,1.0,9,0.8
0.0010178089141845703,5907,3,3,1.0,3,1.0
0.001016378402709961,5296,8,8,1.0,8,1.0
0.0010197162628173828,4489,8,8,1.0,8,1.0
0.0010018348693847656,5690,3,3,1.0,3,1.0
0.0010612010955810547,739,0,0,1.0,0,1.0
0.0010263919830322266,5223,7,7,1.0,7,1.0
0.0011930465698242188,3960,8,8,1.0,8,1.0
0.001132965087890625,962,3,3,1.0,3,1.0
0.001150369644165039,3304,1,1,1.0,1,1.0
0.0011796951293945312,8965,3,3,1.0,3,1.0
0.0011775493621826172,5105,7,7,1.0,7,1.0
0.001079559326171875,4796,3,3,1.0,3,1.0
0.0012066364288330078,6161,0,0,1.0,0,1.0
0.001161813735961914,6970,6,6,1.0,6,1.0
0.0011866092681884766,7705,9,9,1.0,9,1.0
0.0009992122650146484,4515,2,2,1.0,2,1.0
0.001171112060546875,3418,2,2,1.0,2,1.0
0.0009796619415283203,3205,2,7,1.0,0,0.4000000000007402
0.001055002212524414,825,9,9,1.0,9,1.0
0.0010509490966796875,1908,9,9,1.0,9,1.0
0.0010044574737548828,4319,4,4,1.0,4,1.0
0.0009667873382568359,5809,1,1,1.0,1,1.0
0.0009827613830566406,4922,5,5,1.0,5,1.0
0.0009319782257080078,4588,1,1,1.0,1,1.0
0.00101470947265625,5863,3,3,1.0,3,1.0
0.0010406970977783203,111,4,4,1.0,4,1.0
0.0009777545928955078,6898,0,0,1.0,0,1.0
0.001104116439819336,1195,7,7,1.0,7,1.0
0.0010535717010498047,7116,6,6,1.0,6,1.0
0.0009965896606445312,7313,7,7,1.0,7,1.0
0.0010120868682861328,3257,9,9,1.0,9,1.0
0.000997781753540039,2110,3,3,1.0,3,1.0
0.0010137557983398438,6234,8,8,1.0,8,1.0
0.0010612010955810547,5065,3,3,1.0,3,1.0
0.0010411739349365234,5347,8,8,1.0,8,1.0
0.0010678768157958984,7956,7,7,1.0,7,1.0
0.00102996826171875,8570,1,1,1.0,1,1.0
0.0011665821075439453,3690,7,7,1.0,7,1.0
0.00103759765625,4675,8,8,1.0,8,1.0
0.001130819320678711,6284,5,5,1.0,5,1.0
0.0011260509490966797,5941,4,4,1.0,4,1.0
0.0009868144989013672,1717,0,0,1.0,0,1.0
0.0010290145874023438,1298,8,8,1.0,8,1.0
0.0010905265808105469,1946,1,1,1.0,1,1.0
0.0011246204376220703,334,5,5,1.0,5,1.0
0.0010924339294433594,4041,8,8,1.0,8,1.0
0.0010581016540527344,5003,0,0,1.0,0,1.0
0.0011975765228271484,2769,3,3,1.0,3,1.0
0.0010364055633544922,3971,5,5,1.0,5,1.0
0.001176595687866211,1699,2,2,1.0,2,1.0
0.0010807514190673828,1303,3,3,1.0,3,1.0
