time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.022104263305664062,784,7,1,1.0,1,1.0
0.004189729690551758,2582,1,1,1.0,1,1.0
0.003983020782470703,710,7,1,1.0,1,1.0
0.003592252731323242,0,9,5,1.0,5,1.0
0.0035109519958496094,8604,3,8,1.0,8,1.0
0.005483388900756836,39,7,9,1.0,5,0.5
0.0037152767181396484,2340,8,5,1.0,5,1.0
0.004106044769287109,7309,4,5,1.0,5,1.0
0.0035071372985839844,7524,8,0,1.0,0,0.5
0.0034084320068359375,434,1,1,1.0,1,1.0
0.003271341323852539,2490,4,8,1.0,8,1.0
0.0034978389739990234,7461,3,8,1.0,5,0.5
0.003226757049560547,368,1,4,1.0,4,0.5
0.0023207664489746094,6033,4,5,1.0,5,1.0
0.0035326480865478516,857,6,8,1.0,8,1.0
0.002501249313354492,3402,2,8,1.0,4,0.5
0.0032682418823242188,4935,3,8,1.0,8,1.0
0.0033464431762695312,7979,1,5,1.0,5,1.0
0.0031719207763671875,8411,4,8,1.0,8,1.0
0.0023915767669677734,5450,8,5,1.0,5,1.0
0.003355264663696289,772,7,8,1.0,8,1.0
0.0031757354736328125,1734,1,5,1.0,5,1.0
0.002941131591796875,3197,4,8,1.0,8,1.0
0.00410008430480957,2190,9,8,1.0,8,1.0
0.003216266632080078,2644,8,5,1.0,5,1.0
0.004545688629150391,5386,5,8,1.0,5,0.5
0.0060100555419921875,496,7,1,1.0,1,1.0
0.003232240676879883,1824,0,8,1.0,8,0.5000000156454618
0.003292560577392578,5739,3,8,1.0,5,0.5
0.0031003952026367188,524,8,0,1.0,0,1.0
0.003168344497680664,2977,3,8,1.0,5,0.5
0.0032923221588134766,1137,1,1,1.0,1,0.5
0.0032091140747070312,7359,0,5,1.0,5,1.0
0.00296783447265625,3101,9,8,1.0,1,0.5
0.005625009536743164,6665,1,1,1.0,1,0.5
0.003261566162109375,2359,0,8,1.0,8,1.0
0.0030732154846191406,4456,9,8,1.0,5,0.5
0.002878904342651367,8266,2,8,1.0,8,1.0
0.005039215087890625,881,9,8,1.0,1,0.5
0.0033245086669921875,6216,0,8,1.0,5,0.5
0.0026030540466308594,6915,7,8,1.0,5,0.5
0.0029556751251220703,2172,4,8,1.0,8,0.5000000000000001
0.0034716129302978516,4979,4,8,1.0,8,1.0
0.002543926239013672,360,1,4,1.0,1,0.5
0.003349781036376953,1358,1,7,1.0,5,0.5
0.003154277801513672,3431,4,8,1.0,8,1.0
0.0023317337036132812,5813,5,8,1.0,5,0.5
0.0029904842376708984,749,2,8,1.0,0,0.5
0.0029723644256591797,4861,7,8,1.0,8,1.0
0.0028781890869140625,8824,8,5,1.0,5,1.0
0.0027861595153808594,6925,6,8,1.0,4,0.5
0.0031232833862304688,6129,0,8,1.0,5,0.5
0.0030357837677001953,2866,1,8,1.0,1,0.5
0.0029251575469970703,2107,7,8,1.0,5,0.5
0.0023419857025146484,3503,2,8,1.0,8,1.0
0.002911090850830078,2969,7,1,1.0,1,1.0
0.0036668777465820312,5057,2,8,1.0,8,1.0
0.0030918121337890625,8141,7,8,1.0,8,1.0
0.003025531768798828,5715,4,8,1.0,5,0.5
0.00354766845703125,2574,0,8,1.0,5,0.5
0.003364086151123047,5763,3,8,1.0,5,0.5
0.004159688949584961,7684,3,0,1.0,0,0.5
0.0029549598693847656,3337,1,4,1.0,4,1.0
0.0029764175415039062,4394,8,5,1.0,5,1.0
0.0031249523162841797,7931,7,5,1.0,5,1.0
0.003084421157836914,4791,0,8,1.0,4,0.5
0.0030448436737060547,3262,1,7,1.0,7,1.0
0.0032074451446533203,3961,2,0,1.0,0,1.0
0.0031824111938476562,3544,4,8,1.0,8,1.0
0.003017425537109375,2760,9,1,1.0,1,0.5
0.003409862518310547,5766,0,5,1.0,5,1.0
0.0033516883850097656,6306,5,5,1.0,5,1.0
0.0033082962036132812,6763,3,8,1.0,8,1.0
0.004175662994384766,2364,8,8,1.0,8,1.0
0.004937887191772461,7278,0,5,1.0,5,1.0
0.0033197402954101562,2507,9,8,1.0,8,0.5000000000000002
0.0032193660736083984,2712,6,4,1.0,4,0.5
0.0033483505249023438,7225,2,8,1.0,5,0.5
0.0030629634857177734,3000,9,8,1.0,8,1.0
0.0030150413513183594,2167,3,8,1.0,5,0.5
0.0029463768005371094,1090,4,8,1.0,5,0.5
0.0041866302490234375,8788,7,8,1.0,5,0.5
0.003307819366455078,2636,5,8,1.0,5,0.5
0.0026798248291015625,2599,2,8,1.0,1,0.5
0.0029442310333251953,409,2,8,1.0,1,0.5
0.0029582977294921875,6072,0,8,1.0,5,0.5
0.003333568572998047,2514,2,0,1.0,0,1.0
0.0031158924102783203,7592,2,8,1.0,0,0.5
0.0028023719787597656,3059,5,8,1.0,8,1.0
0.004315614700317383,772,7,8,1.0,8,1.0
0.0030853748321533203,3474,7,1,1.0,1,1.0
0.002689361572265625,7951,0,5,1.0,5,1.0
0.0030527114868164062,8966,6,4,0.9999999,5,0.5000000562574911
0.0054018497467041016,2724,0,8,1.0,5,0.5
0.002993345260620117,4832,4,5,1.0,5,1.0
0.002852201461791992,3320,0,5,1.0,5,1.0
0.003065824508666992,3940,3,8,1.0,8,1.0
0.0029783248901367188,2428,6,7,0.9999999,5,0.5000000443570762
0.003185272216796875,5702,1,5,1.0,5,1.0
0.002572774887084961,5192,1,5,1.0,5,1.0
