time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.0009005069732666016,2699,1,0.60495085,1,0.30294134716192883
0.0006194114685058594,3090,8,0.27497253,8,0.22782912850379944
0.0005946159362792969,3062,8,0.9529971,8,0.6149019400278727
0.0006015300750732422,8416,1,0.7193351,1,0.5974838435649872
0.0006215572357177734,1743,4,0.90225214,4,0.5137801071008047
0.0006139278411865234,2062,0,0.9997769,0,0.9975280165672302
0.0007183551788330078,7176,2,0.4065519,8,0.3214029098550479
0.0006682872772216797,412,0,0.73568106,0,0.7456751863161722
0.0007112026214599609,4341,0,0.7520411,0,0.8641195297241211
0.0006189346313476562,5026,0,0.5060766,8,0.4950059453646342
