time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.023720979690551758,8395,1,1,1.0,1,1.0
0.002322673797607422,1951,5,5,1.0,5,0.6666666666666666
0.002235889434814453,894,9,1,1.0,1,0.6666666666666666
0.002210855484008789,3395,6,8,0.9671865,8,0.9890621701876322
0.002411365509033203,3249,1,4,1.0,4,1.0
0.002190113067626953,8231,3,8,1.0,8,0.6666666666666666
0.0024330615997314453,448,1,5,1.0,5,0.6666666666666666
0.0024509429931640625,2190,9,8,1.0,8,1.0
0.0026547908782958984,2131,3,8,1.0,8,1.0
0.0023746490478515625,7008,7,0,1.0,0,1.0
0.0024118423461914062,6738,1,5,1.0,5,0.6666666666666666
0.002257823944091797,3904,3,8,1.0,8,1.0
0.0022568702697753906,5442,8,5,1.0,5,1.0
0.0022649765014648438,1591,7,1,1.0,1,1.0
0.002202749252319336,5243,7,8,1.0,8,1.0
0.002284526824951172,3241,0,8,1.0,8,0.6666666666666666
0.0022280216217041016,2734,0,4,1.0,4,0.6666666666666666
0.0024824142456054688,8897,0,5,1.0,5,1.0
0.0023255348205566406,3015,9,5,1.0,5,0.6666666666666666
0.002346038818359375,1703,0,0,1.0,5,0.6666469971338908
0.0023345947265625,4970,1,1,1.0,9,0.6666666666666666
0.002422332763671875,4980,0,8,1.0,8,1.0
0.0022077560424804688,2032,0,5,1.0,5,0.6666666682094656
0.002340555191040039,7611,0,5,1.0,5,0.6663137475649515
0.0022971630096435547,394,8,8,1.0,8,1.0
0.0027937889099121094,0,9,5,1.0,5,1.0
0.0024576187133789062,825,9,1,1.0,1,0.6666666880284637
0.002362489700317383,7358,9,5,1.0,5,0.6666666666666666
0.002590179443359375,6189,7,5,1.0,5,1.0
0.00234222412109375,327,9,8,1.0,8,1.0
0.0027375221252441406,980,4,8,1.0,8,1.0
0.0022673606872558594,602,6,8,1.0,8,1.0
0.002480745315551758,6995,3,8,1.0,8,0.6666666666666666
0.0024385452270507812,1203,8,8,1.0,8,1.0
0.0025873184204101562,5670,1,5,1.0,5,0.6666666666666666
0.0023996829986572266,2609,7,1,1.0,1,0.6666666666666666
0.002503633499145508,3970,7,1,1.0,1,1.0
0.002183198928833008,14,6,5,1.0,5,1.0
0.002235889434814453,5293,0,5,1.0,5,1.0
0.0022132396697998047,2968,5,8,1.0,8,1.0
0.002748250961303711,8242,7,5,1.0,5,0.6666691479734558
0.0022683143615722656,313,4,8,1.0,8,1.0
0.0023276805877685547,4251,0,5,1.0,5,1.0
0.002676248550415039,5303,9,5,1.0,5,1.0
0.002338886260986328,8812,3,5,1.0,5,0.6666666666666666
0.0027124881744384766,5580,0,8,1.0,4,0.3333333333333333
0.0023713111877441406,207,2,8,1.0,8,1.0
0.0027637481689453125,2125,7,1,1.0,0,0.6666666666666666
0.002376079559326172,3683,9,5,1.0,5,0.666666666667114
0.002563953399658203,141,7,1,1.0,1,1.0
0.00278472900390625,3179,1,1,1.0,1,0.6666666666666666
0.0026378631591796875,8669,4,5,1.0,5,1.0
0.002609729766845703,2763,5,5,1.0,5,0.6666666666666666
0.0027437210083007812,7116,6,7,1.0,8,0.6666666666666666
0.002864360809326172,3774,1,1,1.0,1,1.0
0.0026569366455078125,3881,7,5,1.0,5,0.6666666666666666
0.0030298233032226562,5324,5,5,1.0,8,0.6662425001462301
0.0032193660736083984,8611,0,5,1.0,5,1.0
0.002445697784423828,1574,5,4,1.0,3,0.3333333333333333
0.0024466514587402344,3629,8,0,1.0,0,1.0
0.0022802352905273438,2587,9,8,1.0,8,1.0
0.002569437026977539,8382,5,8,1.0,8,1.0
0.0022988319396972656,1669,2,8,1.0,8,1.0
0.002424478530883789,3165,8,8,1.0,8,1.0
0.002319812774658203,8492,4,8,1.0,8,1.0
0.00274658203125,6304,5,5,1.0,5,1.0
0.002397298812866211,5537,5,5,1.0,5,1.0
0.0023055076599121094,4472,3,8,1.0,8,0.6666666666666666
0.0023484230041503906,8819,1,5,1.0,5,0.6666666666666666
0.002658367156982422,3093,9,8,1.0,8,1.0
0.0021772384643554688,2101,7,5,1.0,5,0.6666666666666666
0.0028839111328125,5456,1,7,1.0,7,0.6666666666666666
0.0024297237396240234,1868,1,4,1.0,4,1.0
0.0024063587188720703,3853,1,5,1.0,5,0.6666666666666666
0.002550363540649414,764,0,8,1.0,8,1.0
0.0028929710388183594,2737,8,5,1.0,5,0.6666666666666666
0.0023653507232666016,7646,2,8,1.0,8,1.0
0.0023899078369140625,5020,6,8,1.0,8,1.0
0.002833843231201172,8824,8,5,1.0,5,1.0
0.002359151840209961,1243,7,1,1.0,5,0.588833749294281
0.002274036407470703,1944,0,8,1.0,8,1.0
0.002293825149536133,647,9,8,0.9998454,5,0.665580636972057
0.002362489700317383,5802,4,8,1.0,8,1.0
0.002521038055419922,7600,1,5,1.0,4,0.3333333333333333
0.002624034881591797,6184,2,5,1.0,5,0.6666666666666666
0.002438068389892578,1371,4,5,1.0,8,0.6666666666666666
0.002565622329711914,7279,8,5,1.0,5,1.0
0.002292633056640625,2366,4,8,1.0,8,1.0
0.00243377685546875,1626,1,4,1.0,9,0.6666666666666666
0.002260923385620117,4783,1,4,1.0,4,0.6666666666666666
0.22491097450256348,5210,9,5,1.0,8,0.6666666666666666
