time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.0003712177276611328,4063,4,5,1.0,5,0.75
0.0002627372741699219,2191,0,5,1.0,5,0.5
0.00024247169494628906,2253,1,5,1.0,5,1.0
0.00057220458984375,6686,1,1,1.0,1,1.0
0.0002460479736328125,5259,0,4,1.0,4,1.0
0.00025153160095214844,5805,7,1,1.0,1,1.0
0.00024437904357910156,5669,6,5,1.0,5,1.0
0.0003552436828613281,1756,3,8,1.0,8,0.75
0.0002491474151611328,7690,9,8,1.0,8,0.7500077253816926
0.00026607513427734375,4321,0,5,1.0,8,0.75
0.0002663135528564453,8469,7,5,1.0,5,1.0
0.00029659271240234375,8954,2,8,1.0,8,1.0
0.0003466606140136719,919,7,1,1.0,1,1.0
0.000705718994140625,7717,9,8,1.0,8,1.0
0.0006728172302246094,7876,3,5,1.0,5,0.75
0.00058746337890625,4991,1,9,1.0,1,0.5000000000000002
0.0004968643188476562,6419,7,1,1.0,1,0.5173472166061401
0.0005621910095214844,7334,9,5,1.0,5,0.75
0.0005333423614501953,5211,0,5,1.0,5,0.5
0.00035119056701660156,2831,9,1,1.0,1,0.75
0.0003190040588378906,6314,6,8,1.0,8,1.0
0.00027060508728027344,8405,0,4,1.0,8,0.7500000000000003
0.00037741661071777344,63,9,5,1.0,5,0.75
0.00036716461181640625,7216,8,5,1.0,0,0.5
0.00031495094299316406,1256,4,8,1.0,8,1.0
0.00025963783264160156,1599,1,5,0.9999995,1,0.4999118768689357
0.00025773048400878906,5235,9,8,1.0,8,0.75
0.0002562999725341797,823,8,5,1.0,5,0.75
0.0002472400665283203,4010,6,5,1.0,5,0.75
0.00027632713317871094,1262,7,1,1.0,1,0.75
0.0002541542053222656,6624,9,8,1.0,8,1.0
0.00026035308837890625,1818,4,5,1.0,5,0.75
0.0002701282501220703,8514,6,8,1.0,8,1.0
0.0002532005310058594,3259,9,1,1.0,1,1.0
0.0002617835998535156,1863,9,5,1.0,5,0.5
0.0002961158752441406,3828,5,8,1.0,8,1.0
0.0002484321594238281,8694,8,5,1.0,5,1.0
0.0002582073211669922,4748,2,8,1.0,8,0.75
0.0002505779266357422,299,5,2,1.0,8,0.5
0.00026154518127441406,3243,6,5,1.0,5,1.0
0.000240325927734375,8874,2,0,1.0,0,1.0
0.0002474784851074219,6215,3,5,1.0,5,0.75
0.0002465248107910156,8614,3,5,1.0,5,1.0
0.00026035308837890625,1005,4,5,1.0,5,0.7718191388994455
0.00026798248291015625,3860,4,5,1.0,5,0.75
0.00026488304138183594,3439,6,8,1.0,8,1.0
0.00026917457580566406,61,0,4,1.0,8,0.75
0.00025153160095214844,4434,8,1,1.0,1,1.0
0.0002624988555908203,5893,6,8,1.0,8,1.0
0.00023508071899414062,4665,6,8,1.0,8,1.0
0.00024247169494628906,8179,0,5,1.0,5,1.0
0.0002353191375732422,5595,8,5,1.0,5,1.0
0.00025725364685058594,7123,6,5,1.0,5,1.0
0.0002472400665283203,8993,0,5,1.0,5,0.75
0.00025272369384765625,5456,1,7,1.0,7,0.75
0.00024127960205078125,498,7,5,1.0,5,1.0
0.00024199485778808594,6902,7,5,1.0,5,0.75
0.00024580955505371094,7458,0,8,1.0,8,1.0
0.0002498626708984375,2467,9,5,1.0,5,0.75
0.0002551078796386719,6679,5,8,1.0,8,0.9991650581359863
0.0002384185791015625,7106,7,5,1.0,5,1.0
0.0002505779266357422,6037,0,5,1.0,8,0.75
0.0002429485321044922,3763,5,5,1.0,5,1.0
0.00024509429931640625,937,6,7,1.0,7,0.5
0.0002598762512207031,7989,4,5,1.0,5,1.0
0.0002474784851074219,8450,8,5,1.0,5,1.0
0.0002498626708984375,3485,7,8,1.0,8,1.0
0.00024437904357910156,113,5,5,1.0,5,1.0
0.0002446174621582031,5717,6,5,1.0,5,1.0
0.00024890899658203125,2125,7,0,1.0,0,0.75
0.00024056434631347656,5566,2,5,1.0,5,0.75
0.0002505779266357422,5701,0,5,1.0,5,0.5
0.0002491474151611328,8394,8,5,0.8366151,5,0.7091537714004517
0.000247955322265625,250,6,5,1.0,5,0.75
0.0002562999725341797,5559,4,8,1.0,8,1.0
0.00023627281188964844,5094,6,8,1.0,8,1.0
0.0002493858337402344,4938,6,8,1.0,8,1.0
0.0002498626708984375,1182,1,8,1.0,8,1.0
0.0002491474151611328,2746,3,8,1.0,8,1.0
0.0002543926239013672,451,2,8,1.0,8,0.75
0.00024580955505371094,6911,1,5,1.0,5,1.0
0.0002460479736328125,2153,8,8,1.0,8,0.75
0.0002684593200683594,1923,9,5,1.0,5,0.75
0.00024509429931640625,8449,8,5,1.0,5,1.0
0.00025844573974609375,5652,1,7,1.0,7,0.75
0.0002560615539550781,6631,6,8,1.0,8,1.0
0.00026488304138183594,2745,1,1,0.9994654,4,0.5
0.0002448558807373047,5121,7,8,1.0,8,1.0
0.00024890899658203125,2404,9,8,1.0,8,1.0
0.00024080276489257812,4359,3,8,1.0,8,0.5
0.00025010108947753906,1845,9,5,1.0,8,0.75
0.0002560615539550781,6671,0,8,1.0,8,1.0
0.00025844573974609375,3019,6,5,1.0,5,1.0
0.0002498626708984375,2908,6,5,1.0,5,0.5
0.0004279613494873047,3019,6,5,1.0,5,1.0
0.0002505779266357422,1803,1,5,1.0,1,0.5
0.0002601146697998047,6775,4,5,1.0,8,0.75
0.0002532005310058594,8473,4,8,1.0,8,1.0
0.0002493858337402344,5260,3,5,1.0,5,0.75
0.00026345252990722656,381,2,8,1.0,8,0.75
