time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.0007305145263671875,2122,1,1,1.0,1,0.75
0.0006237030029296875,3141,3,8,1.0,8,1.0
0.0006997585296630859,5923,5,5,1.0,3,0.5
0.0007944107055664062,3277,8,8,1.0,6,0.5
0.0006794929504394531,8781,6,8,1.0,8,1.0
0.0006585121154785156,5743,7,2,1.0,2,1.0
0.0006389617919921875,3877,2,6,1.0,6,0.75
0.0007503032684326172,2402,5,2,1.0,2,1.0
0.0006890296936035156,6436,8,4,1.0,4,0.75
0.0005991458892822266,8554,3,6,1.0,6,1.0
0.0006661415100097656,2577,5,4,1.0,4,0.75
0.000766754150390625,6313,4,8,1.0,0,0.2500000000000044
0.0006947517395019531,5730,4,6,1.0,6,1.0
0.0007007122039794922,4825,4,8,1.0,8,0.5
0.0007696151733398438,6884,2,8,1.0,0,0.25
0.0008175373077392578,5826,2,6,1.0,6,1.0
0.0007479190826416016,2412,1,1,1.0,1,0.75
0.0007236003875732422,6278,4,8,1.0,4,0.5
0.0007455348968505859,8182,0,8,1.0,8,0.75
0.0006339550018310547,2318,1,9,0.5824465,9,0.6456116288900375
0.0006608963012695312,5555,9,5,1.0,5,0.5000000003807391
0.00064849853515625,7259,3,8,1.0,3,0.75
0.0006558895111083984,7604,7,2,1.0,2,1.0
0.0006721019744873047,7072,0,6,1.0,6,1.0
0.0006852149963378906,8056,7,0,1.0,0,0.9999362379312515
0.0007789134979248047,8841,5,5,1.0,5,1.0
0.0007319450378417969,8091,6,6,1.0,6,0.75
0.0006492137908935547,8980,0,3,1.0,3,1.0
0.0006387233734130859,8944,5,5,1.0,5,1.0
0.0005908012390136719,602,0,3,1.0,3,0.75
0.0005903244018554688,5473,5,5,1.0,5,1.0
0.0007307529449462891,5414,3,1,0.9999999,1,0.4999999701976776
0.0006365776062011719,5713,7,2,1.0,2,0.75
0.000759124755859375,3091,2,6,1.0,6,0.75
0.0006601810455322266,2886,5,5,1.0,3,0.75
0.0006937980651855469,7694,9,2,1.0,2,0.5
0.0006661415100097656,3329,6,0,1.0,0,1.0
0.0007381439208984375,4883,3,1,1.0,1,0.75
0.0005881786346435547,1355,0,8,1.0,8,0.5407077260315418
0.0006260871887207031,8247,6,0,1.0,0,1.0
0.0006799697875976562,1796,8,6,1.0,6,0.5
0.0006356239318847656,5479,4,0,1.0,0,1.0
0.0006823539733886719,6034,2,6,1.0,6,0.7665260545909405
0.0006544589996337891,2212,8,2,1.0,2,0.75
0.0006380081176757812,8181,2,0,1.0,0,1.0
0.0006926059722900391,5218,1,1,1.0,1,0.75
0.0006477832794189453,5251,3,1,1.0,1,1.0
0.0007021427154541016,4149,8,2,1.0,2,0.75
0.0008027553558349609,8390,8,0,1.0,0,0.75
0.0006024837493896484,7083,3,2,1.0,8,0.5
0.0006926059722900391,8958,0,3,1.0,3,1.0
0.0007615089416503906,6996,7,2,0.9999243,4,0.7500189367310668
0.0007882118225097656,2578,3,2,1.0,2,1.0
0.000682830810546875,718,9,5,1.0,3,0.75
0.0007455348968505859,6180,5,2,1.0,4,0.75
0.0008745193481445312,6040,6,0,1.0,0,0.5
0.0007870197296142578,3626,7,2,1.0,2,1.0
0.0008997917175292969,2328,3,1,1.0,1,0.75
0.000732421875,5718,5,5,1.0,4,0.5
0.0007426738739013672,5103,4,1,1.0,1,0.25
0.0008065700531005859,8213,5,6,0.9999974,4,0.75
0.0007464885711669922,284,5,2,1.0,2,0.75
0.0007297992706298828,1630,3,1,1.0,1,1.0
0.0007524490356445312,1200,1,1,1.0,6,0.75
0.0007193088531494141,3163,7,2,1.0,2,1.0
0.000713348388671875,5505,7,2,1.0,2,1.0
0.0008435249328613281,2753,4,9,1.0,9,1.0
0.0007054805755615234,7403,6,8,1.0,3,0.7499990165233612
0.0007448196411132812,3219,1,1,1.0,1,0.75
0.0007677078247070312,4038,5,1,1.0,1,0.49968577921390533
0.0008945465087890625,5721,2,3,1.0,3,1.0
0.0006737709045410156,6157,9,0,1.0,0,0.75
0.0007610321044921875,4042,1,1,1.0,1,0.75
0.0007710456848144531,5776,2,6,1.0,0,0.75
0.0006575584411621094,7780,9,2,1.0,2,0.75
0.0006518363952636719,4760,1,8,1.0,8,1.0
0.0007755756378173828,2619,9,3,1.0,3,1.0
0.0008072853088378906,5031,8,0,1.0,0,0.7500000000045178
0.0007998943328857422,1815,5,2,1.0,2,1.0
0.0007724761962890625,4877,1,1,1.0,1,1.0
0.0006542205810546875,7630,7,2,1.0,2,0.75
0.0007021427154541016,6827,3,1,1.0,1,0.75
0.0007097721099853516,3121,0,3,1.0,3,1.0
0.0007593631744384766,776,5,1,1.0,0,0.5
0.0008924007415771484,2626,4,6,1.0,6,0.75
0.0007560253143310547,2097,9,3,1.0,3,0.75
0.0007915496826171875,5714,0,8,1.0,8,1.0
0.000675201416015625,1515,2,6,1.0,0,0.5
0.000701904296875,859,0,3,1.0,3,0.7500000000000203
0.0006740093231201172,6490,2,6,1.0,0,0.75
0.0006604194641113281,2916,4,6,1.0,6,1.0
0.0007309913635253906,1319,6,8,1.0,8,0.75
0.0007681846618652344,4602,8,8,1.0,6,0.75
0.0008022785186767578,2321,1,1,1.0,1,0.75
0.0007843971252441406,8460,9,5,1.0,3,0.75
0.0008606910705566406,8163,8,0,1.0,0,0.75
0.0006737709045410156,1127,2,6,1.0,6,0.75
0.0007884502410888672,6971,6,6,0.99501437,3,0.75
0.0007994174957275391,5748,3,3,1.0,3,1.0
0.0006186962127685547,5043,7,2,1.0,4,0.75
