time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.00863194465637207,3288,2,0.8112328,2,0.8274540603160858
0.0008606910705566406,1327,2,0.7759548,2,0.7816898077726364
0.0007073879241943359,6589,2,0.28040618,2,0.4233336001634598
0.0006778240203857422,3424,2,0.6703507,2,0.7378544807434082
0.0006151199340820312,2769,2,0.5064677,2,0.41353530436754227
0.0007169246673583984,6587,2,0.5051513,2,0.559219241142273
0.0006432533264160156,165,2,0.94628036,2,0.94748555123806
0.0007131099700927734,2181,0,0.476283,0,0.3829578049480915
0.0007469654083251953,4158,2,0.97566605,2,0.9633144438266754
0.0006551742553710938,1214,0,0.7619581,0,0.6256651654839516
