time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.005055427551269531,36,2,2,1.0,2,1.0
0.0008573532104492188,2051,6,6,1.0,6,1.0
0.0006229877471923828,6202,0,0,1.0,0,1.0
0.0005338191986083984,485,2,2,1.0,2,1.0
0.0006952285766601562,441,8,8,1.0,8,1.0
0.0007390975952148438,239,3,3,1.0,3,1.0
0.0007107257843017578,5904,8,8,1.0,8,1.0
0.0011053085327148438,6828,9,9,1.0,9,1.0
0.0009806156158447266,1481,2,2,1.0,2,1.0
0.000797271728515625,2324,8,8,1.0,8,1.0
0.0007739067077636719,2897,3,3,1.0,3,1.0
0.0007410049438476562,5785,2,2,1.0,2,1.0
0.00091552734375,5824,6,6,1.0,6,1.0
0.0007698535919189453,7413,8,8,1.0,8,1.0
0.0009918212890625,4262,9,9,1.0,9,1.0
0.0007672309875488281,8864,7,7,1.0,7,1.0
0.000762939453125,7790,4,4,1.0,4,1.0
0.0007333755493164062,4431,1,1,1.0,1,1.0
0.0006327629089355469,1780,2,2,1.0,2,1.0
0.0008094310760498047,3960,8,8,1.0,8,1.0
0.0008432865142822266,4292,2,2,1.0,2,1.0
0.000888824462890625,7280,4,4,1.0,4,1.0
0.0007903575897216797,4733,2,2,1.0,2,1.0
0.0008819103240966797,2748,6,6,1.0,6,1.0
0.0007569789886474609,8571,9,9,1.0,9,1.0
0.0006468296051025391,5827,9,9,1.0,9,1.0
0.0006284713745117188,5574,2,2,1.0,2,1.0
0.0007333755493164062,3725,2,2,1.0,2,1.0
0.0008878707885742188,8543,7,7,1.0,7,1.0
0.0006480216979980469,1235,1,1,1.0,1,1.0
0.0008189678192138672,1627,0,0,1.0,0,1.0
0.0009217262268066406,4989,6,6,1.0,6,1.0
0.0006444454193115234,8871,4,4,1.0,4,1.0
0.0006349086761474609,6072,0,0,1.0,0,1.0
0.0005431175231933594,2780,4,4,1.0,4,0.7500007418784094
0.00048661231994628906,4005,1,1,1.0,1,1.0
0.0004055500030517578,7842,3,3,1.0,3,1.0
0.0003523826599121094,7944,6,6,1.0,6,1.0
0.0003368854522705078,7917,4,4,1.0,4,1.0
0.0003452301025390625,1517,2,2,1.0,2,1.0
0.0003757476806640625,4631,4,4,1.0,4,1.0
0.0003986358642578125,513,3,3,1.0,3,1.0
0.0005726814270019531,6180,7,7,1.0,7,1.0
0.0006744861602783203,6749,2,2,1.0,2,1.0
0.0011632442474365234,7640,9,9,1.0,9,1.0
0.0007131099700927734,8419,7,7,1.0,7,1.0
0.0008323192596435547,6712,6,6,1.0,6,1.0
0.0010266304016113281,1993,7,7,1.0,7,1.0
0.001119375228881836,6441,6,6,1.0,6,1.0
0.0010116100311279297,3376,8,8,1.0,8,1.0
0.0009119510650634766,932,2,2,1.0,2,1.0
0.0006108283996582031,7343,0,0,1.0,0,1.0
0.0008473396301269531,7099,1,1,1.0,1,1.0
0.0006787776947021484,7613,4,4,1.0,4,1.0
0.0006220340728759766,6713,8,8,1.0,8,1.0
0.000789642333984375,3617,0,0,1.0,0,1.0
0.0005497932434082031,3368,5,5,1.0,5,1.0
0.0005259513854980469,5720,1,1,1.0,1,1.0
0.0008058547973632812,1488,2,4,1.0,4,1.0
0.0008053779602050781,444,6,6,1.0,6,1.0
0.00103759765625,907,0,0,1.0,0,1.0
0.0007662773132324219,4376,8,8,1.0,8,1.0
0.0006914138793945312,3670,1,1,1.0,1,1.0
0.0010251998901367188,5059,3,3,1.0,3,1.0
0.0007505416870117188,2000,6,6,1.0,6,1.0
0.0009596347808837891,790,2,8,1.0,7,0.75
0.0009331703186035156,1016,7,7,1.0,7,1.0
0.0005857944488525391,8454,6,6,1.0,6,1.0
0.0007796287536621094,8492,4,4,1.0,4,1.0
0.0007681846618652344,7425,0,0,1.0,0,1.0
0.0007793903350830078,550,5,5,1.0,5,1.0
0.0005648136138916016,2315,0,0,1.0,0,1.0
0.00043773651123046875,4663,7,7,1.0,7,1.0
0.00038743019104003906,7893,9,9,1.0,9,1.0
0.0008044242858886719,8034,4,4,1.0,4,1.0
0.0010151863098144531,7438,2,2,1.0,2,1.0
0.0007233619689941406,6342,0,0,1.0,0,1.0
0.0007827281951904297,5856,7,7,1.0,7,1.0
0.0007984638214111328,8642,9,7,1.0,7,0.5
0.0007443428039550781,7608,7,7,1.0,7,1.0
0.0005700588226318359,2873,8,8,1.0,8,1.0
0.0008013248443603516,1660,0,0,1.0,0,1.0
0.0008661746978759766,8729,5,6,1.0,6,1.0
0.0008208751678466797,8757,0,0,1.0,0,1.0
0.0006616115570068359,6202,0,0,1.0,0,1.0
0.0011174678802490234,4466,7,7,1.0,7,1.0
0.0007371902465820312,5000,9,9,1.0,9,1.0
0.0006220340728759766,6957,4,4,1.0,4,1.0
0.0003681182861328125,324,8,8,1.0,8,1.0
0.0005784034729003906,8614,3,3,1.0,3,1.0
0.0005362033843994141,6278,9,9,1.0,9,1.0
0.0007393360137939453,2591,5,5,1.0,5,1.0
0.0008184909820556641,1138,2,2,1.0,2,1.0
0.0006477832794189453,4267,2,2,1.0,2,1.0
0.0007963180541992188,1124,4,4,1.0,4,1.0
0.0007071495056152344,5408,1,1,1.0,1,1.0
0.0011184215545654297,7286,1,1,1.0,1,1.0
0.0008296966552734375,8905,3,3,1.0,3,1.0
0.0008063316345214844,1692,9,9,1.0,9,1.0
0.0006098747253417969,6112,0,0,1.0,0,1.0
