time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.005852937698364258,3653,1,5,1.0,5,0.6
0.0005958080291748047,3815,7,5,1.0,5,1.0
0.0003294944763183594,8255,9,5,1.0,5,1.0
0.00031375885009765625,2218,6,5,1.0,5,1.0
0.0005705356597900391,2291,4,8,1.0,8,1.0
0.000728607177734375,854,6,8,1.0,8,1.0
0.0005054473876953125,8102,4,8,1.0,8,1.0
0.0006151199340820312,8433,8,8,1.0,8,1.0
0.0003921985626220703,224,2,5,1.0,8,0.8
0.0004570484161376953,3605,3,7,0.99998355,2,0.4000032830841519
0.0005443096160888672,1513,7,5,1.0,5,0.6
0.0007829666137695312,1197,4,5,1.0,5,0.6
0.0008261203765869141,2129,3,2,1.0,2,0.5999999284744263
0.0008051395416259766,8806,7,1,1.0,1,0.8000000000007716
0.0005545616149902344,394,8,8,1.0,8,0.8
0.0007526874542236328,1808,7,1,1.0,1,0.9869529128074646
0.0006208419799804688,5543,4,5,1.0,8,0.8
0.0006291866302490234,5447,3,2,1.0,2,0.8
0.0006895065307617188,5025,4,8,1.0,8,1.0
0.0006451606750488281,1824,0,2,1.0,2,0.6
0.00063323974609375,8800,0,5,1.0,5,1.0
0.0008587837219238281,4320,0,5,1.0,5,0.8
0.0006771087646484375,4065,8,5,1.0,5,1.0
0.0006463527679443359,4518,5,2,1.0,2,0.6
0.0006589889526367188,5644,1,5,1.0,5,0.6
0.0008676052093505859,2984,9,1,1.0,1,1.0
0.0007760524749755859,1917,4,7,1.0,8,0.6
0.0007112026214599609,792,7,1,1.0,8,0.4000000000000329
0.0006952285766601562,2717,3,2,1.0,2,0.8
0.0007081031799316406,5111,2,0,1.0,0,0.6
0.0008447170257568359,6936,3,2,1.0,2,0.6
0.0006246566772460938,2520,6,8,1.0,8,0.8
0.0006139278411865234,4369,0,2,1.0,2,0.6
0.0006806850433349609,864,4,7,1.0,8,0.8000000008896603
0.000934600830078125,8856,9,5,1.0,5,1.0
0.0007956027984619141,3266,4,8,1.0,8,1.0
0.0010714530944824219,3937,0,5,1.0,5,0.8
0.0009789466857910156,7050,3,0,1.0,5,0.6
0.0007915496826171875,4945,3,2,1.0,8,0.8000000008054109
0.0006246566772460938,1425,8,8,1.0,8,0.8
0.0006527900695800781,642,2,8,1.0,8,1.0
0.0010530948638916016,2148,1,5,1.0,5,0.6
0.0007946491241455078,2496,0,2,1.0,8,0.6
0.0007021427154541016,3254,5,5,1.0,5,1.0
0.0007951259613037109,6371,8,0,1.0,0,0.8
0.0006389617919921875,4983,2,8,1.0,8,1.0
0.0006618499755859375,4299,9,8,1.0,8,0.8
0.0009849071502685547,3923,0,5,1.0,5,1.0
0.0008282661437988281,4170,5,5,1.0,5,1.0
0.000804901123046875,8471,4,8,1.0,8,0.8
0.0008654594421386719,1448,9,8,1.0,8,1.0
0.0008411407470703125,8812,3,5,1.0,5,0.9999999761581421
0.0010530948638916016,1521,7,5,1.0,5,0.8
0.0006775856018066406,2018,6,5,1.0,5,1.0
0.0009007453918457031,1610,2,0,1.0,0,1.0
0.0013120174407958984,3476,2,4,1.0,8,0.6
0.0008418560028076172,8191,2,7,1.0,8,0.6
0.0006237030029296875,5933,6,4,1.0,8,0.8
0.0006861686706542969,349,2,7,1.0,5,0.6
0.0008618831634521484,3785,3,2,1.0,2,0.6000000000000003
0.0005135536193847656,1271,8,0,1.0,0,0.8
0.0004379749298095703,5443,9,5,1.0,8,0.8
0.0003902912139892578,5438,1,5,1.0,5,0.6
0.0003497600555419922,6098,7,8,1.0,5,0.6
0.00030112266540527344,8786,5,5,1.0,5,1.0
0.00041985511779785156,388,6,4,1.0,5,0.6
0.0002803802490234375,672,5,5,1.0,5,1.0
0.00038695335388183594,95,3,2,1.0,2,0.8
0.0003554821014404297,6389,6,4,1.0,8,0.8000000000000004
0.0006220340728759766,3694,6,7,1.0,8,0.8
0.0008065700531005859,6472,2,5,1.0,5,1.0
0.0008423328399658203,7306,1,5,1.0,5,1.0
0.0008492469787597656,3299,9,5,1.0,5,1.0
0.0008232593536376953,4048,7,5,1.0,5,1.0
0.0008106231689453125,7446,6,7,1.0,7,0.4
0.0007729530334472656,2001,9,5,1.0,5,1.0
0.00069427490234375,3031,5,5,1.0,5,0.8000000000000002
0.0009398460388183594,1116,6,5,1.0,5,1.0
0.0005185604095458984,1988,0,2,1.0,2,0.6
0.0007698535919189453,8156,3,5,1.0,8,0.5992624163627625
0.0006539821624755859,2418,7,1,1.0,1,1.0
0.0009033679962158203,3774,1,1,1.0,1,1.0
0.0008113384246826172,4626,2,0,1.0,0,0.40000080909358077
0.000774383544921875,6311,3,0,1.0,0,0.6
0.0007722377777099609,4720,4,7,1.0,7,0.8
0.0006947517395019531,6204,7,9,1.0,0,0.4000000000000023
0.0008394718170166016,4413,8,0,1.0,5,0.6
0.0011963844299316406,7896,6,7,1.0,5,0.6
0.0008633136749267578,6473,4,5,1.0,5,1.0
0.0008368492126464844,17,6,8,1.0,8,1.0
0.0007996559143066406,8385,8,0,1.0,5,0.8
0.000797271728515625,2897,3,1,1.0,1,0.5999996900558472
0.0008459091186523438,6261,0,5,1.0,5,1.0
0.0007774829864501953,4884,6,8,1.0,8,1.0
0.0010025501251220703,1726,2,4,1.0,0,0.4
0.0006635189056396484,3256,3,5,1.0,8,0.6
0.0006775856018066406,2637,7,5,1.0,5,0.6
0.0008537769317626953,4802,5,2,1.0,2,0.8
0.0006380081176757812,7649,8,0,1.0,0,1.0
0.0008800029754638672,5711,0,5,1.0,5,1.0
