time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.000362396240234375,1843,6,6,1.0,6,0.6
0.0003750324249267578,2600,8,9,1.0,8,0.6
0.00031685829162597656,6342,3,3,1.0,3,1.0
0.00025773048400878906,5302,4,0,1.0,0,0.4
0.0002512931823730469,8197,7,2,1.0,5,0.6
0.0002524852752685547,714,1,8,0.91700816,8,0.5834016323089599
0.00024580955505371094,7328,0,3,1.0,3,0.8
0.00025463104248046875,2409,5,2,1.0,2,1.0
0.00025200843811035156,412,0,3,1.0,3,0.8
0.00024771690368652344,8600,2,6,1.0,6,1.0
0.0002486705780029297,1119,3,3,1.0,3,0.6
0.0002467632293701172,7486,4,0,1.0,0,0.4
0.0002498626708984375,874,2,6,1.0,6,0.8
0.00026726722717285156,4678,3,3,1.0,3,0.4
0.0002675056457519531,5411,7,2,1.0,2,0.6
0.00026154518127441406,3509,6,6,1.0,6,1.0
0.0002598762512207031,4066,4,6,1.0,6,0.8
0.0002582073211669922,7306,6,6,1.0,8,0.6
0.00026679039001464844,3682,9,3,1.0,1,0.5999998331069947
0.0002472400665283203,8443,2,9,1.0,9,0.6
0.00025272369384765625,7521,5,2,1.0,2,1.0
0.0002636909484863281,3065,7,2,1.0,2,0.6020142430439591
0.000247955322265625,2826,1,9,1.0,9,0.6
0.00024175643920898438,7078,9,3,1.0,3,1.0
0.0002524852752685547,4479,1,1,1.0,1,0.8
0.00024080276489257812,1763,4,9,1.0,6,0.4
0.0002486705780029297,3773,7,2,1.0,2,0.6
0.00025153160095214844,1453,5,4,1.0,4,1.0
0.00023603439331054688,3158,1,1,1.0,1,0.6
0.00024247169494628906,5088,7,2,1.0,2,0.4
0.000244140625,1279,0,3,1.0,3,1.0
0.0002460479736328125,2437,2,6,1.0,6,1.0
0.00024700164794921875,7989,3,5,1.0,3,0.4
0.00025200843811035156,4678,3,3,1.0,3,0.4
0.00023937225341796875,6150,1,1,1.0,1,0.6
0.0002472400665283203,4700,5,5,1.0,7,0.6
0.0002884864807128906,7110,4,0,1.0,0,0.4
0.0002551078796386719,5713,7,2,1.0,2,0.6
0.00025725364685058594,7519,6,6,1.0,6,0.6000000180978133
0.0002562999725341797,3990,0,3,1.0,3,1.0
0.00026226043701171875,2758,8,6,1.0,8,0.6
0.0002455711364746094,2342,0,3,1.0,3,1.0
0.00024771690368652344,3338,5,5,1.0,5,0.9999566674232483
0.00024390220642089844,8227,6,8,1.0,8,0.8
0.00025343894958496094,2585,2,6,1.0,6,0.8
0.00025653839111328125,8505,5,2,1.0,2,0.9999999046325684
0.00024247169494628906,7834,0,2,1.0,2,0.6
0.0002448558807373047,1775,9,5,1.0,3,0.8
0.0002453327178955078,6000,8,5,1.0,5,0.6
0.00024271011352539062,7972,7,2,1.0,2,1.0
0.00025534629821777344,3703,5,4,1.0,4,1.0
0.00025391578674316406,8383,9,2,1.0,2,1.0
0.0002589225769042969,1872,0,3,1.0,8,0.6
0.0002551078796386719,5375,3,2,1.0,1,0.4
0.00025582313537597656,3557,1,1,1.0,1,1.0
0.00032258033752441406,607,9,5,1.0,5,0.8
0.0002486705780029297,8490,7,2,1.0,2,0.6
0.0002453327178955078,265,4,6,1.0,6,0.4
0.00024628639221191406,4555,0,2,1.0,3,0.4
0.00027823448181152344,6822,0,6,1.0,8,0.4
0.0002593994140625,294,6,8,1.0,8,1.0
0.0002377033233642578,5930,8,0,1.0,5,0.4
0.00024080276489257812,711,9,2,1.0,5,0.6
0.0002696514129638672,1046,0,3,1.0,3,0.6
0.0002524852752685547,2314,9,5,1.0,5,0.6
0.0002455711364746094,5151,9,3,1.0,3,1.0
0.0002429485321044922,5584,3,6,1.0,6,0.8
0.00023174285888671875,3633,1,6,1.0,1,0.4
0.00025153160095214844,8311,1,1,1.0,1,0.8
0.00024247169494628906,468,3,6,1.0,8,0.6
0.0002536773681640625,1593,2,8,1.0,8,0.8
0.00023436546325683594,8110,3,6,1.0,6,0.8
0.00023651123046875,5982,8,0,1.0,8,0.6
0.0002372264862060547,3475,0,8,1.0,8,0.8
0.00023555755615234375,2629,0,3,1.0,3,0.6
0.00024700164794921875,4179,3,6,1.0,6,0.8
0.0002372264862060547,1178,9,2,1.0,2,1.0
0.0002410411834716797,756,6,3,1.0,8,0.40000000001693187
0.00024580955505371094,8122,6,3,1.0,3,1.0
0.00023603439331054688,2039,8,6,1.0,6,0.6
0.0002541542053222656,1680,0,3,1.0,3,1.0
0.00023412704467773438,8200,2,0,1.0,3,0.4710822463035583
0.00029158592224121094,6125,9,2,1.0,2,0.8
0.00024175643920898438,1147,7,2,1.0,4,0.8
0.0002465248107910156,1013,3,8,1.0,8,0.8
0.00023984909057617188,3267,6,0,1.0,6,0.4000000000305626
0.00024056434631347656,3811,5,4,1.0,4,1.0
0.0002422332763671875,1763,4,9,1.0,6,0.4
0.0002372264862060547,1066,9,5,1.0,3,0.4
0.0002543926239013672,3162,6,6,1.0,6,0.4
0.0003445148468017578,8993,9,1,1.0,5,0.6000000000000034
0.00027561187744140625,4590,0,3,1.0,8,0.4000000093050538
0.0002522468566894531,548,2,6,1.0,6,0.8
0.0002512931823730469,7196,4,3,1.0,8,0.6
0.0002498626708984375,50,4,0,1.0,8,0.4
0.0002727508544921875,6735,9,2,1.0,5,0.6
0.00025582313537597656,1052,5,4,1.0,4,1.0
0.0002548694610595703,431,2,6,1.0,6,0.4
0.0003542900085449219,3628,0,3,1.0,3,1.0
0.0002739429473876953,8023,4,9,1.0,8,0.6
