time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.04111623764038086,6116,6,1.0,6,1.0
0.003505229949951172,1584,8,1.0,8,1.0
0.003634929656982422,8818,0,1.0,0,1.0
0.0030574798583984375,7461,3,1.0,3,1.0
0.0024404525756835938,1839,5,1.0,5,1.0
0.0029680728912353516,6797,5,1.0,5,1.0
0.003000974655151367,4441,6,1.0,6,1.0
0.003502368927001953,6090,5,1.0,5,1.0
0.0035326480865478516,8018,2,1.0,2,1.0
0.0032165050506591797,5172,9,1.0,9,1.0
0.004278421401977539,1123,7,1.0,7,1.0
0.0035071372985839844,3195,1,1.0,1,1.0
0.003660917282104492,1524,1,1.0,1,1.0
0.0034134387969970703,4380,8,1.0,8,1.0
0.003406047821044922,8270,7,1.0,7,1.0
0.0033261775970458984,2693,9,1.0,9,1.0
0.0026884078979492188,8128,4,1.0,4,1.0
0.002453327178955078,3995,2,1.0,2,1.0
0.0034394264221191406,3135,2,1.0,2,1.0
0.00323486328125,6359,2,1.0,2,1.0
0.0027327537536621094,8155,1,1.0,1,1.0
0.0032477378845214844,6624,9,1.0,9,1.0
0.00264739990234375,3179,1,1.0,1,1.0
0.0030202865600585938,7929,0,1.0,0,1.0
0.0035130977630615234,5387,6,1.0,6,1.0
0.003965139389038086,8980,2,1.0,2,1.0
0.003477334976196289,3179,1,1.0,1,1.0
0.005249977111816406,3992,0,1.0,0,1.0
0.0054857730865478516,1096,0,1.0,0,1.0
0.0026314258575439453,2145,5,1.0,5,1.0
0.0032491683959960938,5073,1,1.0,1,1.0
0.0032193660736083984,5227,5,1.0,5,1.0
0.004175662994384766,8914,3,1.0,3,1.0
0.0038611888885498047,8648,0,1.0,0,1.0
0.004115104675292969,2362,6,1.0,6,1.0
0.0028433799743652344,6936,3,1.0,3,1.0
0.0028028488159179688,6059,7,1.0,7,1.0
0.002928018569946289,8160,5,1.0,5,1.0
0.0028595924377441406,1149,8,1.0,8,1.0
0.0030355453491210938,8501,3,1.0,3,1.0
0.004233360290527344,2968,5,1.0,3,0.6
0.007199525833129883,830,1,1.0,1,1.0
0.002911090850830078,1436,4,1.0,4,1.0
0.0031757354736328125,2656,7,1.0,7,1.0
0.0026564598083496094,8671,5,1.0,5,1.0
0.0027763843536376953,4847,0,1.0,0,1.0
0.0024890899658203125,4127,2,1.0,2,1.0
0.0024042129516601562,1909,5,1.0,5,1.0
0.002857208251953125,4188,8,1.0,8,1.0
0.004351139068603516,1731,3,1.0,3,1.0
0.00370025634765625,242,4,1.0,4,0.6
0.003260374069213867,4127,2,1.0,2,1.0
0.0026388168334960938,8716,2,1.0,2,1.0
0.0027556419372558594,6539,2,1.0,2,1.0
0.0025174617767333984,4279,9,1.0,9,1.0
0.002722024917602539,1304,0,1.0,0,1.0
0.0027112960815429688,4702,6,1.0,6,1.0
0.00334930419921875,6140,3,1.0,3,1.0
0.003650188446044922,8182,3,1.0,3,1.0
0.002985239028930664,41,5,1.0,5,1.0
0.00262451171875,4397,5,1.0,5,1.0
0.002540111541748047,8566,7,1.0,7,1.0
0.0026650428771972656,517,0,1.0,0,1.0
0.0029327869415283203,6806,1,1.0,1,1.0
0.002931833267211914,1529,1,1.0,1,1.0
0.004328012466430664,197,0,1.0,0,1.0
0.002813577651977539,1969,5,1.0,5,1.0
0.003217935562133789,2923,6,1.0,6,1.0
0.002779245376586914,2348,8,1.0,8,1.0
0.004117012023925781,6692,3,1.0,3,1.0
0.0024461746215820312,5307,7,1.0,7,1.0
0.0035414695739746094,4447,9,1.0,9,1.0
0.002790689468383789,4662,5,1.0,5,1.0
0.0024518966674804688,2963,2,1.0,2,1.0
0.0040929317474365234,6774,8,1.0,8,1.0
0.002450704574584961,7798,0,1.0,0,1.0
0.002676725387573242,2293,2,1.0,2,1.0
0.002464771270751953,4049,8,1.0,8,1.0
0.0025022029876708984,8072,2,1.0,2,1.0
0.003637075424194336,4894,9,1.0,9,1.0
0.002743959426879883,2611,2,1.0,2,1.0
0.002510547637939453,3438,4,1.0,4,1.0
0.0025513172149658203,8945,9,1.0,9,1.0
0.0024619102478027344,268,8,1.0,8,1.0
0.002402782440185547,6601,0,1.0,0,1.0
0.0026984214782714844,1631,0,1.0,0,1.0
0.004424571990966797,6287,8,1.0,8,1.0
0.0028679370880126953,2739,3,1.0,3,1.0
0.002273082733154297,6593,0,1.0,0,1.0
0.003566265106201172,5516,4,1.0,4,1.0
0.003867626190185547,4069,0,1.0,0,1.0
0.003741025924682617,2486,3,1.0,3,1.0
0.0024292469024658203,1182,1,1.0,1,1.0
0.003028392791748047,3575,4,1.0,4,1.0
0.0027053356170654297,2536,0,1.0,0,1.0
0.003158092498779297,5475,4,1.0,4,1.0
0.002343893051147461,4758,4,1.0,4,1.0
0.0029325485229492188,1645,4,1.0,4,1.0
0.0034275054931640625,5498,6,1.0,6,1.0
0.0036568641662597656,2150,3,1.0,3,1.0
