time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.002444744110107422,7686,8,2,1.0,8,0.6
0.0026335716247558594,9,3,3,1.0,3,0.6
0.0020585060119628906,7185,5,4,1.0,4,1.0
0.0023429393768310547,8681,8,8,1.0,8,0.6
0.004321098327636719,8274,0,3,1.0,3,0.6
0.0025687217712402344,3127,6,8,1.0,8,0.8
0.002001047134399414,5551,7,2,1.0,4,0.8
0.004426717758178711,269,3,8,1.0,8,0.8
0.0028388500213623047,4767,1,6,1.0,6,0.6
0.002749919891357422,3004,5,2,1.0,2,0.8
0.0024261474609375,2132,0,6,1.0,6,0.6000000000487853
0.00232696533203125,3374,2,6,1.0,3,0.6
0.0031867027282714844,5331,1,2,1.0,2,1.0
0.002752065658569336,6676,7,2,1.0,2,0.7999855518341065
0.0019502639770507812,2239,6,6,1.0,6,0.6174689292907715
0.0034596920013427734,5871,7,2,1.0,2,1.0
0.0037453174591064453,7988,3,3,1.0,3,0.619891856610775
0.002671957015991211,968,3,6,1.0,3,0.4
0.003324270248413086,2677,9,3,1.0,3,0.6
0.0022001266479492188,4899,5,2,1.0,2,1.0
0.002308368682861328,3959,9,5,1.0,1,0.4
0.0036232471466064453,8359,5,5,1.0,5,0.6000000001319886
0.002892017364501953,5800,3,3,1.0,3,0.6
0.002552032470703125,2667,7,2,1.0,4,0.6
0.001972198486328125,8266,7,2,1.0,2,1.0
0.0024144649505615234,8599,0,8,1.0,8,0.8
0.003979682922363281,8245,5,5,1.0,5,0.6
0.003262042999267578,2750,3,1,1.0,1,0.7999807834625244
0.002213001251220703,4293,9,0,1.0,2,0.4
0.0025300979614257812,1064,2,6,1.0,6,0.5353159666061401
0.0024421215057373047,708,6,0,0.9999994,8,0.4
0.002226591110229492,8291,0,6,1.0,6,1.0
0.0021457672119140625,2722,3,1,1.0,1,0.8
0.0020041465759277344,6705,7,2,1.0,2,0.9999993085861206
0.0021982192993164062,450,0,3,1.0,8,0.6
0.002280712127685547,420,5,4,1.0,4,1.0
0.0034062862396240234,4181,4,9,1.0,9,0.8
0.0026412010192871094,3637,5,2,1.0,2,0.8
0.003758668899536133,56,6,3,1.0,3,0.8
0.002532958984375,8521,9,2,1.0,2,1.0
0.0022847652435302734,4160,5,5,1.0,5,1.0
0.0028619766235351562,1538,5,5,1.0,5,1.0
0.0039255619049072266,986,8,0,1.0,8,0.6
0.002525806427001953,6376,3,6,1.0,6,0.6
0.0030891895294189453,4187,2,6,1.0,6,0.6
0.002276182174682617,4124,4,9,1.0,8,0.6
0.0036225318908691406,2048,2,6,1.0,6,0.6
0.0022161006927490234,1250,9,2,1.0,2,0.8
0.0026254653930664062,2245,4,0,1.0,8,0.6
0.004044055938720703,3612,0,3,1.0,3,0.6
0.002062082290649414,3843,5,8,1.0,8,0.8000000000000291
0.0024039745330810547,6930,7,5,1.0,5,0.8
0.002156496047973633,2905,6,3,1.0,8,0.8
0.002536296844482422,3436,8,2,1.0,8,0.8
0.003084421157836914,6889,5,2,1.0,0,0.6
0.0021402835845947266,4858,7,2,1.0,2,1.0
0.003328084945678711,4888,5,5,1.0,2,0.8
0.003443002700805664,1412,0,3,1.0,3,0.6
0.002331256866455078,1987,6,9,1.0,8,0.4
0.002576112747192383,1190,6,3,1.0,3,1.0
0.00757288932800293,2540,0,3,1.0,3,0.4
0.0025091171264648438,4037,3,6,1.0,6,0.6
0.0031380653381347656,6849,9,2,1.0,2,0.6
0.00446319580078125,3219,1,1,1.0,1,0.8
0.0020706653594970703,7631,8,8,1.0,8,1.0
0.0023412704467773438,7161,4,6,1.0,6,0.4
0.0032706260681152344,4517,9,2,1.0,2,0.8
0.002557039260864258,2415,6,9,1.0,8,0.6
0.0023000240325927734,795,7,2,1.0,2,0.8
0.0030591487884521484,10,7,2,1.0,2,1.0
0.003045320510864258,6423,1,1,1.0,1,0.8
0.003231525421142578,633,7,4,1.0,4,1.0
0.0036170482635498047,5647,8,0,1.0,0,0.4
0.0021276473999023438,6536,1,8,1.0,8,0.40000000000000036
0.001990795135498047,4147,8,5,1.0,8,0.6
0.002045869827270508,6811,0,9,1.0,9,0.6
0.002040386199951172,1603,6,6,1.0,6,0.6
0.0020761489868164062,6601,4,6,1.0,6,0.4
0.002035379409790039,804,9,2,1.0,2,0.8
0.002229928970336914,163,4,0,1.0,8,0.8
0.0021102428436279297,6068,4,6,1.0,6,0.8
0.0024890899658203125,802,0,3,1.0,3,1.0
0.0026025772094726562,4993,4,0,1.0,2,0.8
0.0020072460174560547,10,7,2,1.0,2,1.0
0.0026001930236816406,1261,2,6,1.0,6,0.6
0.003000497817993164,5369,5,2,1.0,4,0.8
0.003278017044067383,4137,3,2,1.0,1,0.6
0.00290679931640625,7702,3,6,1.0,6,1.0
0.0033326148986816406,5975,8,3,1.0,3,0.8
0.0020270347595214844,6288,2,0,1.0,8,0.6
0.002580404281616211,8278,3,1,1.0,1,1.0
0.002028942108154297,6278,4,4,1.0,8,0.6
0.002732992172241211,4924,3,3,1.0,3,0.4
0.0031554698944091797,1049,6,0,1.0,3,0.4
0.002529621124267578,2084,4,8,1.0,8,0.8
0.002257108688354492,2137,1,1,1.0,1,1.0
0.002238035202026367,416,1,1,1.0,1,0.8
0.0023179054260253906,8203,7,2,1.0,2,1.0
0.002479076385498047,6311,0,3,1.0,3,0.6
0.0033338069915771484,4087,7,4,1.0,4,0.8
