time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.015910863876342773,6423,4,5,1.0,5,1.0
0.0014214515686035156,143,7,8,1.0,8,1.0
0.0006906986236572266,6840,2,5,1.0,5,0.6666666666666666
0.0009140968322753906,4306,8,5,1.0,5,1.0
0.0009114742279052734,8639,4,5,1.0,5,0.8356219974036018
0.0008296966552734375,8058,6,5,1.0,5,1.0
0.0006480216979980469,3145,8,8,1.0,8,1.0
0.0009698867797851562,1114,5,5,1.0,5,1.0
0.000865936279296875,2620,3,8,1.0,8,1.0
0.0005636215209960938,2031,6,8,1.0,8,1.0
0.0009622573852539062,4245,3,5,1.0,0,0.5
0.00048279762268066406,6405,1,5,1.0,5,1.0
0.0008757114410400391,6740,3,8,1.0,8,1.0
0.0008502006530761719,4507,2,8,1.0,8,0.8333333333333334
0.0006434917449951172,5697,7,5,1.0,0,0.5
0.000759124755859375,3051,6,8,1.0,8,0.8333333333333334
0.0008807182312011719,8845,1,7,1.0,7,0.8333333333333334
0.0006556510925292969,4077,7,5,1.0,5,1.0
0.0006899833679199219,1311,2,5,1.0,8,0.8333333333333334
0.0009150505065917969,2110,3,8,1.0,8,1.0
0.0010428428649902344,4194,5,5,1.0,5,1.0
0.0009286403656005859,667,1,1,1.0,1,0.8333333333333334
0.0009088516235351562,7704,2,0,0.99984777,8,0.5000253620673922
0.0008921623229980469,4953,1,1,1.0,1,0.999999980131785
0.0006918907165527344,3619,6,8,1.0,8,1.0
0.0008602142333984375,7908,2,5,1.0,5,1.0
0.0009739398956298828,4032,4,5,0.9999318,8,0.6663282594296712
0.0010540485382080078,5613,6,8,1.0,8,1.0
0.0008823871612548828,7473,5,5,1.0,5,1.0
0.0006935596466064453,7609,8,5,1.0,5,0.49996504187583923
0.000732421875,2955,5,5,1.0,5,0.8333333333333334
0.0006537437438964844,1391,2,5,1.0,5,0.5
0.0006897449493408203,1766,6,8,1.0,8,1.0
0.0008733272552490234,2012,8,5,1.0,5,1.0
0.0009183883666992188,5653,7,5,1.0,0,0.5
0.0008633136749267578,3432,0,5,1.0,2,0.5
0.0006723403930664062,5356,1,4,1.0,4,0.3333333333333333
0.0006661415100097656,2876,2,2,1.0,2,0.5
0.0009179115295410156,1468,6,8,1.0,8,1.0
0.0008764266967773438,6483,2,5,1.0,5,1.0
0.0008020401000976562,3084,3,2,1.0,2,0.5
0.0006811618804931641,8030,1,5,1.0,5,0.5
0.0009090900421142578,6970,6,5,1.0,7,0.5000000000000001
0.0007369518280029297,3061,7,5,1.0,5,0.5
0.0008733272552490234,4276,6,8,1.0,8,1.0
0.0008997917175292969,8900,8,5,1.0,5,1.0
0.0007109642028808594,5875,3,0,1.0,8,0.8333333333333334
0.0009057521820068359,5575,3,5,1.0,5,0.6666666666666666
0.0008394718170166016,5949,2,5,1.0,5,0.6666666666666666
0.0009431838989257812,8833,6,5,1.0,8,0.4784156878789266
0.0008816719055175781,439,9,1,1.0,1,1.0
0.0009171962738037109,480,3,8,1.0,8,1.0
0.0007307529449462891,2228,4,0,1.0,8,0.8333333333333334
0.0006399154663085938,1005,4,5,1.0,5,1.0
0.0008032321929931641,418,9,5,0.9412791,8,0.509786811346809
0.00104522705078125,1411,1,4,1.0,4,0.6666666666666666
0.0006313323974609375,7961,4,5,1.0,5,1.0
0.0006613731384277344,661,3,8,1.0,8,0.8333333333333334
0.0006296634674072266,6948,5,5,1.0,5,0.9998843868573507
0.0006399154663085938,4550,1,1,1.0,1,0.6666573882102966
0.0006642341613769531,8642,9,5,1.0,5,1.0
0.0006797313690185547,4192,2,0,1.0,8,0.5000000000002628
0.0006768703460693359,1441,3,1,1.0,1,1.0
0.0006000995635986328,1966,9,8,1.0,8,0.8333333333333334
0.0006799697875976562,3529,5,5,1.0,5,1.0
0.0005929470062255859,3673,9,8,1.0,8,1.0
0.000415802001953125,5928,1,5,1.0,5,0.6666666666666666
0.0005526542663574219,3125,6,5,1.0,5,0.500034588893565
0.0004024505615234375,7577,4,7,1.0,8,0.6666650573412577
0.0005288124084472656,2041,9,8,1.0,8,0.6666666666666666
0.0007791519165039062,4684,0,4,1.0,4,0.5000000000971269
0.0007891654968261719,546,2,8,1.0,8,0.8333333333333334
0.0010726451873779297,3622,6,8,1.0,8,1.0
0.0008454322814941406,3420,5,5,1.0,2,0.5
0.0009176731109619141,2401,0,5,1.0,5,1.0
0.0006272792816162109,1320,9,1,1.0,1,1.0
0.0009768009185791016,4392,2,4,1.0,8,0.5000430713165164
0.0009438991546630859,5431,2,5,1.0,5,1.0
0.0006415843963623047,1300,3,8,1.0,8,1.0
0.0007145404815673828,521,5,5,1.0,5,0.8333333333333334
0.0007801055908203125,4099,2,5,1.0,5,0.8333333333333334
0.001008749008178711,4454,3,5,1.0,5,1.0
0.0008366107940673828,1556,5,8,1.0,8,1.0
0.0009601116180419922,6160,5,5,1.0,5,1.0
0.0010919570922851562,2796,2,5,1.0,1,0.6666666666666666
0.0006771087646484375,6506,0,5,1.0,8,0.5
0.0008533000946044922,2405,4,5,1.0,5,0.8333333333333334
0.0008406639099121094,1511,3,2,1.0,2,0.5
