time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.011200428009033203,6460,7,1.0,7,1.0
0.0008184909820556641,8922,4,1.0,4,1.0
0.0008554458618164062,3511,9,1.0,9,1.0
0.0007810592651367188,5720,1,1.0,1,1.0
0.000713348388671875,1996,0,1.0,0,1.0
0.0007746219635009766,3616,9,1.0,9,1.0
0.0007736682891845703,488,4,1.0,4,1.0
0.0007452964782714844,1127,0,1.0,0,1.0
0.0007734298706054688,2615,4,1.0,4,1.0
0.0008020401000976562,925,7,1.0,7,1.0
0.0006973743438720703,5735,8,1.0,8,1.0
0.0007641315460205078,3372,8,1.0,8,1.0
0.0007853507995605469,7643,5,1.0,5,1.0
0.0007681846618652344,4036,1,1.0,1,1.0
0.0007395744323730469,1260,2,1.0,2,1.0
0.0008077621459960938,1000,6,1.0,6,1.0
0.0007605552673339844,8696,2,1.0,2,1.0
0.0006823539733886719,5232,1,1.0,1,1.0
0.0007512569427490234,3858,1,1.0,1,1.0
0.0007519721984863281,4491,9,1.0,9,1.0
0.0006611347198486328,1678,4,1.0,4,1.0
0.0007450580596923828,5737,4,1.0,4,1.0
0.0007450580596923828,4565,9,1.0,9,1.0
0.0007712841033935547,1624,3,1.0,3,1.0
0.0007524490356445312,4035,0,1.0,0,1.0
0.0007603168487548828,3818,3,1.0,3,1.0
0.0007569789886474609,7789,6,1.0,6,1.0
0.0007631778717041016,1117,4,1.0,4,1.0
0.0007693767547607422,2868,8,1.0,8,1.0
0.0008141994476318359,874,5,1.0,5,1.0
0.0007386207580566406,5888,9,1.0,9,1.0
0.0007665157318115234,3988,9,1.0,9,1.0
0.0008161067962646484,117,7,1.0,7,1.0
0.000762939453125,6529,3,1.0,3,1.0
0.0007691383361816406,3315,5,1.0,5,1.0
0.0006887912750244141,2254,6,1.0,6,1.0
0.0007655620574951172,4922,5,1.0,5,1.0
0.0007691383361816406,5577,7,1.0,7,1.0
0.0007929801940917969,7480,7,1.0,7,1.0
0.0006844997406005859,543,7,1.0,7,1.0
0.0006933212280273438,5464,8,1.0,8,1.0
0.0006909370422363281,6228,1,1.0,1,1.0
0.0007915496826171875,7840,3,1.0,3,1.0
0.0007774829864501953,2469,3,1.0,3,1.0
0.0006563663482666016,7299,5,1.0,5,1.0
0.0009515285491943359,6548,6,1.0,6,1.0
0.0007812976837158203,4141,0,1.0,0,1.0
0.0006945133209228516,5012,1,1.0,1,1.0
0.0007712841033935547,4541,2,1.0,2,1.0
0.0007658004760742188,2499,8,1.0,8,1.0
0.0007102489471435547,1416,1,1.0,1,1.0
0.0007686614990234375,4590,1,1.0,1,1.0
0.0008966922760009766,2578,2,1.0,2,1.0
0.0007758140563964844,6616,9,1.0,9,1.0
0.0006811618804931641,5194,3,1.0,3,1.0
0.0006656646728515625,8605,4,1.0,4,1.0
0.0007617473602294922,4594,1,1.0,1,1.0
0.0008387565612792969,6314,6,1.0,6,1.0
0.0008280277252197266,2178,0,1.0,0,1.0
0.0009238719940185547,3534,9,1.0,9,1.0
0.0008082389831542969,5841,0,1.0,0,1.0
0.0006594657897949219,5192,1,1.0,1,1.0
0.000659942626953125,6627,2,1.0,2,1.0
0.0006964206695556641,6156,2,1.0,2,1.0
0.0007200241088867188,1100,5,1.0,5,1.0
0.000732421875,6764,4,1.0,4,1.0
0.0006372928619384766,6771,3,1.0,3,1.0
0.0007510185241699219,6610,3,1.0,3,1.0
0.0008640289306640625,5461,0,1.0,0,1.0
0.000782012939453125,682,2,1.0,2,1.0
0.0006151199340820312,2976,7,1.0,7,0.8333333333333334
0.0006766319274902344,3010,1,1.0,1,1.0
0.0006887912750244141,1689,5,1.0,5,1.0
0.0008249282836914062,5654,8,1.0,8,1.0
0.0006859302520751953,4353,0,1.0,0,1.0
0.0007426738739013672,8565,4,1.0,4,1.0
0.0007975101470947266,4945,3,1.0,3,1.0
0.0006952285766601562,6572,2,1.0,2,1.0
0.0007071495056152344,7892,1,1.0,1,1.0
0.0007028579711914062,3723,2,1.0,2,1.0
0.000698089599609375,6372,5,1.0,5,1.0
0.0008268356323242188,5302,9,1.0,9,1.0
0.0007174015045166016,7539,5,1.0,5,1.0
0.0007398128509521484,6663,8,1.0,8,1.0
0.000698089599609375,6477,7,1.0,7,1.0
0.0007524490356445312,8566,7,1.0,7,1.0
0.0007598400115966797,7897,9,1.0,9,1.0
0.0007359981536865234,2444,4,1.0,4,1.0
0.0007839202880859375,500,7,1.0,7,1.0
0.0007960796356201172,7257,7,1.0,7,1.0
0.0007083415985107422,5301,6,1.0,6,1.0
0.0007357597351074219,1067,0,1.0,0,1.0
0.0006692409515380859,4936,4,1.0,4,1.0
0.0007283687591552734,3238,3,1.0,3,0.6666666666666666
0.0006892681121826172,7538,1,1.0,1,1.0
0.0008089542388916016,2832,2,1.0,2,1.0
0.0008695125579833984,1969,5,1.0,5,1.0
0.0007293224334716797,543,7,1.0,7,1.0
0.0007102489471435547,5296,8,1.0,8,1.0
0.0008327960968017578,7177,6,1.0,6,1.0
