time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.014944314956665039,1157,8,1.0,0,0.5713065181459699
0.0008852481842041016,34,5,1.0,5,1.0
0.0008296966552734375,1205,8,1.0,8,0.9999175412314278
0.0008301734924316406,771,8,1.0,8,0.5714285714285714
0.000804901123046875,3052,5,1.0,5,1.0
0.0008950233459472656,3875,8,1.0,8,1.0
0.0008192062377929688,6303,4,1.0,1,0.5714285714285714
0.0008580684661865234,1759,8,1.0,8,1.0
0.0008490085601806641,8410,5,1.0,5,1.0
0.0007989406585693359,4431,7,1.0,7,0.7142857142857143
0.0008194446563720703,2414,5,1.0,5,0.8571428571428571
0.0009784698486328125,4709,1,1.0,1,0.8571428571428571
0.0007917881011962891,1412,7,1.0,7,1.0
0.0008664131164550781,53,8,1.0,8,0.7142857142857143
0.0008203983306884766,82,5,1.0,5,1.0
0.0008823871612548828,4187,5,1.0,5,1.0
0.0008535385131835938,8662,5,1.0,5,0.8571428571428571
0.0008122920989990234,4311,8,1.0,8,0.7142857142857143
0.000888824462890625,1333,5,1.0,5,0.42857142857142855
0.0008225440979003906,7811,5,1.0,7,0.37151928458895
0.00089263916015625,2848,4,1.0,5,0.42857142857142855
0.0008370876312255859,3550,8,1.0,8,1.0
0.0008869171142578125,6651,8,1.0,8,1.0
0.0009119510650634766,4025,7,1.0,7,0.8571428571428571
0.0008904933929443359,2092,7,1.0,7,0.5714285714285714
0.0008432865142822266,6449,5,1.0,5,1.0
0.0008463859558105469,6835,5,1.0,5,0.7142857142857143
0.0007965564727783203,1716,8,1.0,8,0.5714285714285714
0.0008976459503173828,3716,5,1.0,0,0.7142857142857143
0.0007932186126708984,3291,8,1.0,8,1.0
0.0008203983306884766,3842,8,1.0,8,1.0
0.0008630752563476562,3146,8,1.0,8,0.8571428571428571
0.0009243488311767578,2952,5,1.0,5,1.0
0.0008528232574462891,5736,5,1.0,5,0.8571428571486239
0.0008115768432617188,3802,8,1.0,8,0.42857142857142855
0.0007734298706054688,3477,8,1.0,5,0.5714285714285714
0.0008215904235839844,2224,5,1.0,5,0.8571428571428571
0.0008404254913330078,322,8,1.0,8,0.5714285714285714
0.0007843971252441406,5912,8,1.0,8,0.7142857142857143
0.0008349418640136719,7401,8,1.0,8,0.7141944084848676
0.0008752346038818359,3599,8,1.0,8,1.0
0.0008156299591064453,1151,8,1.0,8,1.0
0.0008099079132080078,6765,8,1.0,0,0.4387687923652785
0.0009126663208007812,5101,4,1.0,5,0.5713855453899929
0.0008847713470458984,2892,5,1.0,5,1.0
0.0009317398071289062,4306,5,1.0,5,1.0
0.0007734298706054688,7428,5,1.0,5,1.0
0.0008020401000976562,6664,8,1.0,8,0.8571428571428571
0.0008397102355957031,3273,1,1.0,1,0.8571428571428571
0.0008342266082763672,1472,5,1.0,5,1.0
0.0007853507995605469,8295,1,1.0,1,0.5714285714321884
0.0008399486541748047,3641,8,1.0,8,0.5714285916626177
0.0008475780487060547,2010,8,1.0,8,0.7142857142857143
0.0007929801940917969,4605,8,1.0,8,0.8571428571428571
0.0007920265197753906,3102,3,1.0,3,0.5714285714285714
0.0007712841033935547,550,5,1.0,5,1.0
0.0008449554443359375,6478,5,1.0,5,0.7142857142857143
0.0008540153503417969,8212,5,1.0,5,0.7142857142857143
0.0008461475372314453,8248,5,1.0,5,1.0
0.0008180141448974609,7076,8,1.0,8,0.5714285714285714
0.0008137226104736328,1861,8,1.0,8,0.8571428571428571
0.0008001327514648438,788,8,1.0,8,0.8571428571428571
0.0008127689361572266,4988,1,1.0,1,0.7142857142857143
0.0007910728454589844,5285,5,1.0,5,1.0
0.0008001327514648438,4176,5,1.0,5,0.7142857142857143
0.0008513927459716797,5241,8,1.0,5,0.5714285714285714
0.0007760524749755859,4884,8,1.0,8,0.8586107511073351
0.0009167194366455078,1458,8,1.0,8,1.0
0.0009114742279052734,6356,8,1.0,8,0.5714285714285714
0.0007827281951904297,4234,1,1.0,1,1.0
0.0008840560913085938,4699,1,1.0,1,1.0
0.0010488033294677734,3965,8,1.0,8,0.8571428571428571
0.0010173320770263672,1823,8,1.0,8,1.0
0.0010726451873779297,2615,8,1.0,8,1.0
0.001027822494506836,8386,8,1.0,8,0.7142857142857236
0.0010616779327392578,7032,8,1.0,8,1.0
0.0010237693786621094,5274,8,1.0,8,0.8571428571428571
0.0011000633239746094,4722,4,1.0,9,0.42857158958565833
0.0011625289916992188,6407,8,1.0,8,0.7142857142857143
0.0011103153228759766,1146,8,1.0,8,0.6894045386995588
0.0010995864868164062,7848,8,1.0,8,1.0
0.0010027885437011719,969,8,1.0,5,0.5714285714285714
0.0010838508605957031,7984,5,1.0,5,1.0
0.0010848045349121094,6299,4,1.0,1,0.2857142857142857
0.0010418891906738281,3830,5,1.0,5,0.5714285714285892
0.0010483264923095703,496,1,1.0,1,1.0
0.0010333061218261719,7076,8,1.0,8,0.5714285714285714
0.0011377334594726562,4679,1,1.0,1,0.8571428583169416
0.0010552406311035156,5234,8,1.0,3,0.2857142857142857
0.001039266586303711,5374,4,1.0,9,0.5713963764054435
0.0010886192321777344,2263,8,1.0,8,0.8571428571428571
0.0011546611785888672,4772,8,1.0,8,0.8571428571428571
0.0009679794311523438,5562,8,0.95936424,7,0.7200908299003329
0.0009958744049072266,900,5,1.0,5,0.7348773330450058
0.0010132789611816406,2590,5,1.0,5,1.0
0.0010161399841308594,4451,5,1.0,5,1.0
0.0010063648223876953,8942,5,1.0,5,1.0
0.0009362697601318359,3343,5,1.0,5,1.0
0.0010120868682861328,2673,1,1.0,1,0.8571428571428571
0.0009920597076416016,1602,8,1.0,8,0.5815003673945155
