time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.0009200572967529297,5135,7,4,1.0,4,0.875
0.0009303092956542969,4570,2,6,1.0,6,0.75
0.0008897781372070312,683,2,6,1.0,6,0.7500000095507264
0.0008690357208251953,1586,1,8,1.0,8,0.5
0.0008382797241210938,7941,5,8,1.0,5,0.5
0.0008492469787597656,8994,1,8,1.0,1,0.5
0.0008859634399414062,8528,9,8,1.0,3,0.5
0.0008554458618164062,5060,5,8,1.0,5,0.75
0.0008180141448974609,7412,2,6,1.0,6,0.8750000000017923
0.0008292198181152344,6509,5,5,1.0,5,1.0
0.0008709430694580078,8687,6,0,1.0,0,0.75
0.0008389949798583984,6943,4,6,1.0,6,0.75
0.0008893013000488281,2191,6,8,1.0,8,0.75
0.0008382797241210938,8221,4,6,1.0,6,0.875
0.0008993148803710938,471,9,2,1.0,2,1.0
0.0008599758148193359,5005,9,2,1.0,2,0.375
0.0008485317230224609,6245,2,0,0.99391055,6,0.37576117872959003
0.0008330345153808594,5939,1,1,1.0,1,0.875
0.0009145736694335938,5868,7,0,1.0,2,0.75
0.0008630752563476562,8950,3,6,1.0,6,0.6250882662425283
0.0009732246398925781,8160,4,6,1.0,6,0.875
0.0008749961853027344,4124,4,8,1.0,8,0.75
0.0009312629699707031,6970,5,5,1.0,5,0.625
0.0008754730224609375,8213,5,4,1.0,4,0.875
0.000820159912109375,8349,0,6,1.0,6,0.5
0.0009334087371826172,4249,6,3,1.0,3,0.625
0.0008413791656494141,1304,8,8,1.0,8,0.25000000000000877
0.0008103847503662109,3960,9,2,1.0,2,0.75
0.0008444786071777344,7531,2,6,1.0,6,0.875
0.0008521080017089844,7071,8,6,1.0,2,0.6298365723341703
0.0009081363677978516,8792,3,1,1.0,1,0.75
0.0008828639984130859,7437,0,8,1.0,8,0.67729626968503
0.0008673667907714844,8756,8,8,1.0,0,0.5
0.0008397102355957031,4906,5,2,1.0,2,1.0
0.0008363723754882812,5387,4,8,1.0,8,0.625
0.0008571147918701172,7713,7,0,1.0,2,0.875
0.0007967948913574219,250,2,6,1.0,3,0.625
0.0008594989776611328,7577,8,0,1.0,0,1.0
0.0009367465972900391,5373,8,0,1.0,0,0.875
0.0009496212005615234,3606,6,8,1.0,6,0.5
0.0009412765502929688,8600,2,6,1.0,6,1.0
0.0008816719055175781,6828,3,6,1.0,6,1.0
0.0008916854858398438,5240,0,6,1.0,6,1.0
0.0008471012115478516,380,2,6,1.0,6,0.875
0.0009374618530273438,498,6,0,1.0,0,0.375
0.0008780956268310547,1611,4,6,1.0,6,0.75
0.0008881092071533203,1121,5,8,1.0,5,0.6161067187786102
0.0008788108825683594,2090,5,0,1.0,0,0.7500017799227408
0.0008714199066162109,2750,3,6,1.0,6,0.625
0.0009124279022216797,3103,5,4,1.0,4,0.6249997168779373
0.0009479522705078125,7996,8,6,1.0,6,0.625
0.0009090900421142578,6544,4,8,1.0,8,0.625
0.0008924007415771484,2695,5,2,1.0,2,0.875
0.0008294582366943359,2912,1,6,1.0,1,0.625
0.0008809566497802734,8256,2,8,1.0,8,0.9984395653009415
0.0008676052093505859,6218,3,8,1.0,8,0.6250037359768612
0.0009157657623291016,5878,3,6,1.0,6,1.0
0.0009186267852783203,3302,3,8,1.0,8,0.875
0.000823974609375,4878,8,6,1.0,6,0.375
0.0009090900421142578,2849,4,6,1.0,6,0.625
0.0008106231689453125,4456,5,2,1.0,2,1.0
0.0008931159973144531,3515,2,6,1.0,6,0.625
0.0008695125579833984,2687,3,6,1.0,3,0.75
0.0008363723754882812,2007,3,3,1.0,3,1.0
0.0008771419525146484,249,0,6,1.0,6,1.0
0.0008790493011474609,6502,9,8,1.0,2,0.25
0.0009095668792724609,8984,3,2,1.0,1,0.625
0.0008640289306640625,7727,3,6,1.0,6,0.5
0.0008356571197509766,2050,3,6,1.0,3,0.5
0.0007853507995605469,1083,9,8,1.0,5,0.375
0.0008497238159179688,6670,8,0,1.0,2,0.75
0.0008890628814697266,6106,0,6,1.0,6,0.375
0.0007920265197753906,2979,7,2,1.0,2,1.0
0.0008347034454345703,2523,8,6,1.0,5,0.375
0.0008337497711181641,4723,7,2,1.0,2,0.875
0.0008509159088134766,8487,6,6,1.0,6,1.0
0.0008013248443603516,7230,5,4,1.0,4,0.875
0.0008738040924072266,464,5,5,1.0,5,0.875
0.0009365081787109375,621,3,6,1.0,6,0.625
0.0008563995361328125,5714,0,8,1.0,8,0.75
0.0009658336639404297,5098,7,4,1.0,2,0.75
0.0008788108825683594,548,2,6,1.0,6,1.0
0.0008552074432373047,6276,1,6,1.0,6,0.5
0.00089263916015625,7295,0,6,1.0,6,0.75
0.0008699893951416016,7458,8,2,1.0,2,0.625
0.0009548664093017578,8603,1,8,1.0,1,0.49983470886945724
0.0008969306945800781,1632,8,0,1.0,0,0.5
0.0008683204650878906,461,7,2,1.0,2,1.0
0.0009696483612060547,1754,6,6,1.0,6,0.625
0.0009262561798095703,677,5,4,1.0,2,0.6254835562431253
0.0008833408355712891,1198,3,2,1.0,2,0.375
0.0009000301361083984,3087,6,8,1.0,8,0.75
0.0008134841918945312,7606,1,6,1.0,6,0.7494965344667435
0.0008699893951416016,38,0,8,1.0,3,0.50000000405986
0.0009171962738037109,6827,3,6,1.0,1,0.625
0.0009522438049316406,7511,5,5,1.0,5,1.0
0.0008900165557861328,2275,0,3,1.0,3,0.75
0.00092315673828125,1707,5,2,1.0,5,0.75
0.0009260177612304688,1810,3,1,1.0,1,0.875
0.0008144378662109375,303,3,3,1.0,3,0.5000000414092938
