time(s),dataset_index,class,single_class,single_prob,ensemble_class,ensemble_prob
0.0003745555877685547,239,2,6,1.0,6,1.0
0.00026488304138183594,1073,4,8,1.0,8,0.6666666666666666
0.0002474784851074219,4835,7,2,1.0,4,0.6668370542142333
0.0002510547637939453,8439,9,3,1.0,3,1.0
0.000244140625,6349,4,6,1.0,6,0.8888888888888888
0.0002474784851074219,1915,8,3,1.0,6,0.5555555555630023
0.0003025531768798828,6714,6,3,1.0,8,0.4444444444444444
0.0002646446228027344,5300,7,2,1.0,2,1.0
0.0002639293670654297,7688,9,3,1.0,3,0.6666666666666666
0.0002677440643310547,4112,9,3,1.0,5,0.6666666666666666
0.0002627372741699219,6334,6,8,1.0,8,0.4444444506977432
0.00025177001953125,4149,8,2,1.0,2,0.6666666666667049
0.0002586841583251953,4484,2,0,1.0,6,0.8882610201835632
0.0002467632293701172,3954,3,1,1.0,1,1.0
0.0002512931823730469,6147,8,2,1.0,2,0.5555555555555556
0.0002455711364746094,8861,1,1,1.0,1,0.5555555555555556
0.00024509429931640625,3367,3,1,1.0,1,0.6667210668157268
0.0002448558807373047,6115,1,1,1.0,1,0.6666666666666666
0.0002582073211669922,5222,3,6,1.0,6,1.0
0.00025463104248046875,1193,7,2,1.0,2,1.0
0.00025463104248046875,786,3,1,1.0,1,0.6666666666666666
0.0002510547637939453,1959,2,3,1.0,6,0.7777777777777778
0.0002372264862060547,6671,0,3,1.0,3,0.6666666666666666
0.0003676414489746094,7805,7,2,1.0,4,0.561192750516865
0.00037407875061035156,6808,1,1,1.0,1,0.3333333333333333
0.0003902912139892578,5694,8,2,1.0,0,0.4444444444444444
0.0002560615539550781,2608,8,8,1.0,0,0.7777777777777778
0.0002505779266357422,3591,1,1,1.0,1,0.6666625738143921
0.0002665519714355469,2346,8,0,1.0,0,0.7777777777777778
0.0002415180206298828,58,6,3,1.0,9,0.6716151667965783
0.0002613067626953125,6398,3,6,1.0,6,0.6666666666666666
0.00025081634521484375,1717,0,6,1.0,6,1.0
0.0002524852752685547,3380,6,8,1.0,8,0.7777777777777778
0.00027298927307128906,8635,1,1,1.0,1,0.8888888888888888
0.0002467632293701172,1312,3,8,1.0,8,1.0
0.0002593994140625,5033,6,6,1.0,6,1.0
0.0002560615539550781,1811,7,2,1.0,2,0.7777777777777778
0.0002608299255371094,1193,7,2,1.0,2,1.0
0.0003132820129394531,4117,0,3,1.0,3,0.5555555555555556
0.0002884864807128906,5569,9,2,1.0,2,1.0
0.0002751350402832031,2514,5,3,1.0,5,0.7777777777777778
0.00028443336486816406,3906,9,2,1.0,2,0.7777777777777778
0.0003185272216796875,209,9,2,1.0,2,0.7777777777777778
0.00034165382385253906,7564,0,3,1.0,3,0.5555555555555556
0.00032591819763183594,1118,2,6,1.0,6,0.8888888888888888
0.0002994537353515625,5803,5,4,1.0,4,0.7777777777777778
0.0002951622009277344,8448,3,8,1.0,6,0.5555555555555556
0.00031185150146484375,2328,3,1,1.0,1,0.5555555555555556
0.00030875205993652344,5261,7,2,1.0,2,0.7777777777777778
0.00029397010803222656,6978,1,1,1.0,1,0.5555555555555556
0.00027823448181152344,1245,3,8,1.0,6,0.6666666666666666
0.000240325927734375,8639,2,0,1.0,8,0.4444444444444444
0.0002536773681640625,1943,1,1,1.0,1,0.6666666666666666
0.00023484230041503906,7692,1,1,1.0,1,0.6666575935151842
0.0002357959747314453,4288,5,2,1.0,2,0.5555555555555556
0.00023746490478515625,7058,2,6,1.0,6,0.8888888888888888
0.00024247169494628906,5426,3,6,1.0,8,0.5555554628372192
0.0002422332763671875,5643,5,5,1.0,5,1.0
0.0002493858337402344,2122,1,1,1.0,1,0.7777774731318156
0.0002586841583251953,3833,7,2,1.0,2,1.0
0.0003104209899902344,1749,8,6,1.0,6,0.5557411583399193
0.0002455711364746094,3931,8,8,1.0,4,0.4444444444444444
0.00024700164794921875,1986,6,8,1.0,6,0.8888888888888888
0.00026726722717285156,763,2,6,1.0,6,1.0
0.0003757476806640625,4064,7,2,1.0,2,0.777777738041348
0.00036787986755371094,4493,2,6,1.0,6,1.0
0.000324249267578125,7433,4,3,1.0,6,0.4444444444444444
0.000301361083984375,924,1,8,1.0,8,0.6666666666666666
0.0002980232238769531,4879,7,2,1.0,2,0.8888888888888888
0.00026917457580566406,7875,0,3,1.0,3,0.4444444444444444
0.0002524852752685547,8125,7,2,1.0,2,1.0
0.00024247169494628906,1903,9,2,1.0,2,0.7777777777777778
0.00025272369384765625,903,1,1,1.0,1,0.5555555555555556
0.00024127960205078125,240,5,5,1.0,5,1.0
0.00024437904357910156,2409,5,2,1.0,2,1.0
0.00024437904357910156,2878,5,2,1.0,2,0.5555555555555556
0.0002570152282714844,5010,5,2,1.0,2,0.7777777777777778
0.0002574920654296875,1527,9,2,1.0,2,1.0
0.00024199485778808594,5734,2,6,1.0,6,1.0
0.0002951622009277344,5725,1,1,1.0,1,0.7777777777777778
0.0002562999725341797,6423,1,1,1.0,1,0.7777777777777778
0.00026607513427734375,6341,9,2,1.0,2,1.0
0.0002505779266357422,2296,2,6,1.0,6,0.6666666666700415
0.00024318695068359375,8175,9,3,1.0,3,1.0
0.0003180503845214844,3202,1,1,1.0,1,0.5555555555555556
0.00024318695068359375,1709,7,2,1.0,2,0.7777777777777778
0.0002493858337402344,2747,0,8,1.0,8,1.0
0.0002455711364746094,458,6,6,1.0,6,0.7777777777777778
0.00024819374084472656,2164,2,3,1.0,3,0.4444444444444444
0.00031566619873046875,7943,9,3,1.0,3,0.8888888888888888
0.0003147125244140625,6721,2,3,1.0,3,1.0
0.00029397010803222656,4108,6,3,1.0,3,0.5555555555555556
0.00027561187744140625,4100,4,8,1.0,8,0.6666666666666666
0.0002624988555908203,511,5,5,1.0,5,1.0
0.00026035308837890625,7349,6,3,1.0,6,0.5555555555555556
0.000240325927734375,1935,9,2,1.0,2,0.8888888888889527
0.00024771690368652344,8799,1,8,1.0,8,0.5488297638172904
0.0002608299255371094,7925,9,3,1.0,3,0.6666666666666666
0.00024628639221191406,4894,5,2,1.0,2,1.0
0.00024509429931640625,4967,3,6,1.0,6,1.0
