time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.009924650192260742,666,1,0.165996,1,0.13152913749217987
0.0005962848663330078,7632,1,0.1690153,1,0.13331419229507446
0.0005695819854736328,4333,1,0.16399848,1,0.13076763451099396
0.0003821849822998047,5994,1,0.16767587,1,0.13296462148427962
0.0006232261657714844,3011,1,0.16563593,1,0.13222990334033966
0.0004987716674804688,3157,1,0.17773332,1,0.13610847890377045
0.0004870891571044922,3797,1,0.16883114,1,0.13249840587377548
0.0005295276641845703,7694,1,0.17386593,1,0.134931081533432
0.00042891502380371094,6972,1,0.16970034,1,0.13385108411312102
0.00038504600524902344,5707,1,0.17489605,1,0.1350489467382431
